,is_high_temp_process,is_high_temp_process,is_high_temp_process,is_high_temp_process,,is_low_temp_process,is_low_temp_process,is_low_temp_process,is_low_temp_process,,is_drying_separation,is_drying_separation,is_drying_separation,is_drying_separation,,is_motors,is_motors,is_motors,is_motors,,is_compressed_air,is_compressed_air,is_compressed_air,is_compressed_air,,is_lighting,is_lighting,is_lighting,is_lighting,,is_refrigeration,is_refrigeration,is_refrigeration,is_refrigeration,,is_space_heating,is_space_heating,is_space_heating,is_space_heating,,is_other,is_other,is_other,is_other
,solid_fuel,oil,gas,electricity,,solid_fuel,oil,gas,electricity,,solid_fuel,oil,gas,electricity,,solid_fuel,oil,gas,electricity,,solid_fuel,oil,gas,electricity,,solid_fuel,oil,gas,electricity,,solid_fuel,oil,gas,electricity,,solid_fuel,oil,gas,electricity,,solid_fuel,oil,gas,electricity
mining,0,107,78,57,,0,8,4,4,,0,8,4,4,,0,0,0,42,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,2,1,1,,0,12,6,6
food_production,0,0,0,0,,23,82,1010,258,,3,9,115,30,,0,0,0,192,,0,0,0,0,,0,0,0,0,,0,0,0,201,,0,0,0,0,,5,19,229,58
beverages,0,0,0,0,,5,20,242,62,,1,2,28,7,,0,0,0,46,,0,0,0,0,,0,0,0,0,,0,0,0,48,,0,0,0,0,,1,4,55,14
tobacco,0,0,0,0,,0,0,5,4,,0,0,1,0,,0,0,0,3,,0,0,0,0,,0,0,0,0,,0,0,0,3,,0,0,0,0,,0,0,1,1
textiles,0,0,0,0,,15,11,105,32,,4,3,30,9,,0,0,0,74,,0,0,0,0,,0,0,0,0,,0,0,0,0,,17,12,116,35,,0,0,0,0
wearing_appeal,0,0,0,0,,4,8,50,14,,0,2,14,4,,0,0,0,33,,0,0,0,0,,0,0,0,0,,0,0,0,0,,5,9,55,15,,0,0,0,0
leather,0,0,0,0,,0,0,6,3,,0,0,2,1,,0,0,0,8,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,7,4,,0,0,0,0
wood,0,0,0,0,,0,4,62,23,,0,2,34,13,,0,0,0,134,,0,0,0,31,,0,0,0,0,,0,0,0,0,,0,1,16,6,,0,1,18,7
paper,0,0,0,0,,24,9,214,112,,38,14,340,179,,0,0,0,102,,0,0,0,121,,0,0,0,0,,0,0,0,0,,6,2,57,30,,9,3,83,43
printing,0,0,0,0,,0,1,38,62,,0,2,61,99,,0,0,0,56,,0,0,0,67,,0,0,0,0,,0,0,0,0,,0,0,10,16,,0,0,15,24
chemicals,6,16,231,33,,18,45,638,92,,10,25,350,51,,0,0,0,646,,0,0,0,167,,0,0,0,0,,0,0,0,183,,1,4,51,7,,7,18,250,36
pharmaceuticals,1,2,24,3,,2,5,66,10,,1,3,37,5,,0,0,0,67,,0,0,0,17,,0,0,0,0,,0,0,0,19,,0,0,5,1,,1,2,26,4
rubber_plastics,0,0,0,0,,166,3,141,95,,76,2,79,52,,0,0,0,547,,0,0,0,126,,0,0,0,0,,0,0,0,0,,62,1,37,25,,46,1,42,28
non_metallic_mineral_products,549,35,699,205,,41,3,52,15,,39,2,49,14,,0,0,0,148,,0,0,0,0,,0,0,0,0,,0,0,0,0,,11,1,14,4,,59,4,75,22
basic_metals,436,5,552,545,,0,0,0,0,,0,0,0,0,,0,0,0,86,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,53,1,68,67
fabricated_metal_products,0,0,20,16,,5,0,188,147,,0,0,0,0,,0,0,0,8,,0,0,0,26,,0,0,0,32,,0,0,0,0,,3,0,107,83,,0,0,10,8
computer,0,0,4,9,,2,0,45,79,,0,0,0,0,,0,0,0,7,,0,0,0,22,,0,0,0,75,,0,0,0,0,,2,0,61,107,,0,0,9,17
electrical_equipment,0,0,7,6,,0,0,55,50,,0,0,0,0,,0,0,0,4,,0,0,0,14,,0,0,0,47,,0,0,0,0,,0,0,74,67,,0,0,12,10
machinery,0,0,12,11,,0,0,113,99,,0,0,0,0,,0,0,0,6,,0,0,0,18,,0,0,0,21,,0,0,0,0,,0,0,64,56,,0,0,6,5
motor_vehicles,2,5,25,9,,17,45,206,69,,0,0,0,0,,0,0,0,9,,0,0,0,26,,0,0,0,53,,0,0,0,0,,21,57,262,88,,3,8,35,12
other_transport_equipment,0,0,0,0,,0,34,105,58,,0,0,0,0,,0,0,0,9,,0,0,0,25,,0,0,0,0,,0,0,0,0,,0,42,94,53,,0,6,19,10
furniture,0,0,0,0,,0,1,24,9,,0,0,13,5,,0,0,0,51,,0,0,0,12,,0,0,0,0,,0,0,0,0,,0,0,6,2,,0,0,7,3
other_manufacturing,0,0,0,0,,0,1,32,12,,0,0,18,7,,0,0,0,69,,0,0,0,16,,0,0,0,0,,0,0,0,0,,0,0,8,3,,0,0,9,4
water_collection_treatment,0,0,0,0,,0,1,9,48,,0,0,5,26,,0,0,0,275,,0,0,0,64,,0,0,0,0,,0,0,0,0,,0,0,2,13,,0,0,3,14
waste_collection,0,0,0,0,,0,7,6,5,,0,3,4,3,,0,0,0,31,,0,0,0,7,,0,0,0,0,,0,0,0,0,,0,3,2,1,,0,2,2,2
