Technology,Fueltype,Efficiency in base year,Efficiency in future year,Year when efficiency is fully realised,Diffusion method (sigmoid or linear),market_entry,Technology type,Maximum theoretical service share of technology,Description
halogen,electricity,0.04,0.04,2050,linear,2010,rs_lighting,1,
standard_lighting_bulb,electricity,0.03,0.03,2050,linear,2010,rs_lighting,1,
fluorescent_strip_lightinging,electricity,0.14,0.14,2050,linear,2010,rs_lighting,1,
energy_saving_lighting_bulb,electricity,0.22,0.22,2050,linear,2010,rs_lighting,1,
LED,electricity,0.22,0.22,2050,linear,2010,rs_lighting,1,
washing_machine,electricity,0.61,0.61,2050,linear,2010,rs_wet,1,
tumble_dryer,electricity,0.77,0.77,2050,linear,2010,rs_wet,1,
dishwasher,electricity,0.69,0.69,2050,linear,2010,rs_wet,1,
washer_dryer,electricity,0.61,0.61,2050,linear,2010,rs_wet,1,
hob_gas,gas,0.7,0.7,2050,linear,2010,rs_cooking,1,
hob_electricity,electricity,0.9,0.9,2050,linear,2010,rs_cooking,1,
hob_induction_electricity,electricity,1.3,1.3,2050,linear,2010,rs_cooking,1,
chest_freezer,electricity,0.54,0.54,2050,linear,2010,rs_cold,1,
fridge_freezer,electricity,0.48,0.48,2050,linear,2010,rs_cold,1,
refrigerator,electricity,0.48,0.48,2050,linear,2010,rs_cold,1,
upright_freezer,electricity,0.5,0.5,2050,linear,2010,rs_cold,1,
boiler_solid_fuel,solid_fuel,0.6,0.6,2050,linear,2010,tech_heating_const,1,
boiler_gas,gas,0.7,0.7,2050,linear,2010,tech_heating_const,1,
boiler_electricity,electricity,0.99,0.99,2050,linear,2010,tech_heating_const,1,
boiler_oil,oil,0.7,0.7,2050,linear,2010,tech_heating_const,1,
boiler_biomass,biomass,0.7,0.7,2050,linear,2010,tech_heating_const,1,
boiler_hydrogen,hydrogen,0.7,0.7,2050,linear,2010,tech_heating_const,1,
boiler_condensing_gas,gas,0.85,0.85,2050,linear,2010,tech_heating_const,1,
boiler_condensing_oil,oil,0.85,0.85,2050,linear,2010,tech_heating_const,1,
boiler_pellet,biomass,0.7,0.7,2050,linear,2010,tech_heating_const,1,
boiler_coal,solid_fuel,0.6,0.6,2050,linear,2010,tech_heating_const,1,
boiler_wood,biomass,0.7,0.7,2050,linear,2010,tech_heating_const,1,
stirling_micro_CHP_gas,gas,0.7,0.7,2050,linear,2010,tech_CHP,1,CHP
fuel_cell_CHP,hydrogen,0.8,0.8,2050,linear,2010,tech_CHP,1,https://www.viessmann.co.uk/en/residential-buildings/combined-heat-and-power-generation/micro-chp-unit-based-on-a-fuel-cell/vitovalor-300p.html
storage_heater_electricity,electricity,0.8,0.8,2050,linear,2010,storage_heating_electricity,1,efficiency
secondary_heater_electricity,electricity,0.8,0.8,2050,linear,2010,secondary_heating_electricity,1,efficiency
heat_pump_ASHP_gas,gas,3.6,3.6,2050,linear,2010,tech_heating_temp_dep,1,
heat_pump_GSHP_gas,gas,4.9,4.9,2050,linear,2010,tech_heating_temp_dep,1,
heat_pump_ASHP_electricity,electricity,3.6,3.6,2050,linear,2010,tech_heating_temp_dep,1,
heat_pump_GSHP_electricity,electricity,4.9,4.9,2050,linear,2010,tech_heating_temp_dep,1,
heat_pump_ASHP_hydrogen,hydrogen,3.6,3.6,2050,linear,2010,tech_heating_temp_dep,1,
heat_pump_GSHP_hydrogen,hydrogen,4.9,4.9,2050,linear,2010,tech_heating_temp_dep,1,
district_heating_gas,gas,1,1,2050,linear,2010,tech_district_heating,1,
district_heating_electricity,electricity,1,1,2050,linear,2010,tech_district_heating,1,
district_heating_biomass,biomass,1,1,2050,linear,2010,tech_district_heating,1,
ss_cooling_tech_electricity,electricity,1,1,2050,linear,2010,tech_cooling_const,1,
ss_cooling_tech_gas,gas,1,1,2050,linear,2010,tech_cooling_const,1,
ss_cooling_tech_oil,oil,1,1,2050,linear,2010,tech_cooling_const,1,
central_air_conditioner_electricity,electricity,0.5,0.5,2050,linear,2010,tech_cooling_const,1,
decentral_air_conditioner_electricity,electricity,0.5,0.5,2050,linear,2010,tech_cooling_const,1,
central_air_conditioner_oil,oil,0.5,0.5,2050,linear,2010,tech_cooling_const,1,
decentral_air_conditioner_oil,oil,0.5,0.5,2050,linear,2010,tech_cooling_const,1,
central_air_conditioner_gas,gas,0.5,0.5,2050,linear,2010,tech_cooling_const,1,
decentral_air_conditioner_gas,gas,0.5,0.5,2050,linear,2010,tech_cooling_const,1,
