region, enduse, sector, fueltype, fuel
S12000023, is_motors, tobacco, 0, 0.0
S12000023, is_motors, tobacco, 1, 0.0
S12000023, is_motors, tobacco, 2, 16.73255930451972
S12000023, is_motors, tobacco, 3, 0.0
S12000023, is_motors, tobacco, 4, 0.0
S12000023, is_motors, tobacco, 5, 0.0
S12000023, is_motors, tobacco, 6, 0.0
S12000023, is_motors, tobacco, 7, 0.0
S12000023, is_lighting, tobacco, 0, 0.0
S12000023, is_lighting, tobacco, 1, 0.0
S12000023, is_lighting, tobacco, 2, 0.0
S12000023, is_lighting, tobacco, 3, 0.0
S12000023, is_lighting, tobacco, 4, 0.0
S12000023, is_lighting, tobacco, 5, 0.0
S12000023, is_lighting, tobacco, 6, 0.0
S12000023, is_lighting, tobacco, 7, 0.0
S12000023, is_high_temp_process, tobacco, 0, 0.0
S12000023, is_high_temp_process, tobacco, 1, 0.0
S12000023, is_high_temp_process, tobacco, 2, 0.0
S12000023, is_high_temp_process, tobacco, 3, 0.0
S12000023, is_high_temp_process, tobacco, 4, 0.0
S12000023, is_high_temp_process, tobacco, 5, 0.0
S12000023, is_high_temp_process, tobacco, 6, 0.0
S12000023, is_high_temp_process, tobacco, 7, 0.0
S12000023, is_refrigeration, tobacco, 0, 0.0
S12000023, is_refrigeration, tobacco, 1, 0.0
S12000023, is_refrigeration, tobacco, 2, 16.73255930451972
S12000023, is_refrigeration, tobacco, 3, 0.0
S12000023, is_refrigeration, tobacco, 4, 0.0
S12000023, is_refrigeration, tobacco, 5, 0.0
S12000023, is_refrigeration, tobacco, 6, 0.0
S12000023, is_refrigeration, tobacco, 7, 0.0
S12000023, is_low_temp_process, tobacco, 0, 0.0
S12000023, is_low_temp_process, tobacco, 1, 27.887598840866207
S12000023, is_low_temp_process, tobacco, 2, 22.310079072692965
S12000023, is_low_temp_process, tobacco, 3, 0.0
S12000023, is_low_temp_process, tobacco, 4, 0.0
S12000023, is_low_temp_process, tobacco, 5, 0.0
S12000023, is_low_temp_process, tobacco, 6, 0.0
S12000023, is_low_temp_process, tobacco, 7, 0.0
S12000023, is_other, tobacco, 0, 0.0
S12000023, is_other, tobacco, 1, 5.577519768173241
S12000023, is_other, tobacco, 2, 5.577519768173241
S12000023, is_other, tobacco, 3, 0.0
S12000023, is_other, tobacco, 4, 0.0
S12000023, is_other, tobacco, 5, 0.0
S12000023, is_other, tobacco, 6, 0.0
S12000023, is_other, tobacco, 7, 0.0
S12000023, is_space_heating, tobacco, 0, 0.0
S12000023, is_space_heating, tobacco, 1, 0.0
S12000023, is_space_heating, tobacco, 2, 0.0
S12000023, is_space_heating, tobacco, 3, 0.0
S12000023, is_space_heating, tobacco, 4, 0.0
S12000023, is_space_heating, tobacco, 5, 0.0
S12000023, is_space_heating, tobacco, 6, 0.0
S12000023, is_space_heating, tobacco, 7, 0.0
S12000023, is_compressed_air, tobacco, 0, 0.0
S12000023, is_compressed_air, tobacco, 1, 0.0
S12000023, is_compressed_air, tobacco, 2, 0.0
S12000023, is_compressed_air, tobacco, 3, 0.0
S12000023, is_compressed_air, tobacco, 4, 0.0
S12000023, is_compressed_air, tobacco, 5, 0.0
S12000023, is_compressed_air, tobacco, 6, 0.0
S12000023, is_compressed_air, tobacco, 7, 0.0
S12000023, is_drying_separation, tobacco, 0, 0.0
S12000023, is_drying_separation, tobacco, 1, 5.577519768173241
S12000023, is_drying_separation, tobacco, 2, 0.0
S12000023, is_drying_separation, tobacco, 3, 0.0
S12000023, is_drying_separation, tobacco, 4, 0.0
S12000023, is_drying_separation, tobacco, 5, 0.0
S12000023, is_drying_separation, tobacco, 6, 0.0
S12000023, is_drying_separation, tobacco, 7, 0.0
S12000023, is_motors, rubber_plastics, 0, 0.0
S12000023, is_motors, rubber_plastics, 1, 0.0
S12000023, is_motors, rubber_plastics, 2, 2995.1281155090305
S12000023, is_motors, rubber_plastics, 3, 0.0
S12000023, is_motors, rubber_plastics, 4, 0.0
S12000023, is_motors, rubber_plastics, 5, 0.0
S12000023, is_motors, rubber_plastics, 6, 0.0
S12000023, is_motors, rubber_plastics, 7, 0.0
S12000023, is_lighting, rubber_plastics, 0, 0.0
S12000023, is_lighting, rubber_plastics, 1, 0.0
S12000023, is_lighting, rubber_plastics, 2, 0.0
S12000023, is_lighting, rubber_plastics, 3, 0.0
S12000023, is_lighting, rubber_plastics, 4, 0.0
S12000023, is_lighting, rubber_plastics, 5, 0.0
S12000023, is_lighting, rubber_plastics, 6, 0.0
S12000023, is_lighting, rubber_plastics, 7, 0.0
S12000023, is_high_temp_process, rubber_plastics, 0, 0.0
S12000023, is_high_temp_process, rubber_plastics, 1, 0.0
S12000023, is_high_temp_process, rubber_plastics, 2, 0.0
S12000023, is_high_temp_process, rubber_plastics, 3, 0.0
S12000023, is_high_temp_process, rubber_plastics, 4, 0.0
S12000023, is_high_temp_process, rubber_plastics, 5, 0.0
S12000023, is_high_temp_process, rubber_plastics, 6, 0.0
S12000023, is_high_temp_process, rubber_plastics, 7, 0.0
S12000023, is_refrigeration, rubber_plastics, 0, 0.0
S12000023, is_refrigeration, rubber_plastics, 1, 0.0
S12000023, is_refrigeration, rubber_plastics, 2, 0.0
S12000023, is_refrigeration, rubber_plastics, 3, 0.0
