service, fueltype, technology, service_p
is_motors, 0, dummy_tech, 0.0
is_motors, 1, None, 0
is_motors, 2, None, 0
is_motors, 3, None, 0
is_motors, 4, None, 0
is_motors, 5, None, 0
is_motors, 6, None, 0
is_motors, 7, None, 0
is_lighting, 0, dummy_tech, 0.0
is_lighting, 1, None, 0
is_lighting, 2, None, 0
is_lighting, 3, None, 0
is_lighting, 4, None, 0
is_lighting, 5, None, 0
is_lighting, 6, None, 0
is_lighting, 7, None, 0
is_high_temp_process, 0, dummy_tech, 1.0
is_high_temp_process, 1, None, 0
is_high_temp_process, 2, None, 0
is_high_temp_process, 3, None, 0
is_high_temp_process, 4, None, 0
is_high_temp_process, 5, None, 0
is_high_temp_process, 6, None, 0
is_high_temp_process, 7, None, 0
is_refrigeration, 0, dummy_tech, 0.0
is_refrigeration, 1, None, 0
is_refrigeration, 2, None, 0
is_refrigeration, 3, None, 0
is_refrigeration, 4, None, 0
is_refrigeration, 5, None, 0
is_refrigeration, 6, None, 0
is_refrigeration, 7, None, 0
is_low_temp_process, 0, dummy_tech, 1.0
is_low_temp_process, 1, None, 0
is_low_temp_process, 2, None, 0
is_low_temp_process, 3, None, 0
is_low_temp_process, 4, None, 0
is_low_temp_process, 5, None, 0
is_low_temp_process, 6, None, 0
is_low_temp_process, 7, None, 0
is_other, 0, dummy_tech, 1.0
is_other, 1, None, 0
is_other, 2, None, 0
is_other, 3, None, 0
is_other, 4, None, 0
is_other, 5, None, 0
is_other, 6, None, 0
is_other, 7, None, 0
is_space_heating, 0, boiler_solid_fuel, 0.9999999999999999
is_space_heating, 1, boiler_gas, 1.0
is_space_heating, 2, boiler_electricity, 0.3055555555555555
is_space_heating, 2, heat_pumps_electricity, 0.6944444444444444
is_space_heating, 3, boiler_oil, 1.0
is_space_heating, 4, boiler_heat_sold, 0.0
is_space_heating, 5, boiler_biomass, 0.0
is_space_heating, 6, boiler_hydrogen, 0.0
is_space_heating, 7, None, 0
is_compressed_air, 0, dummy_tech, 0.0
is_compressed_air, 1, None, 0
is_compressed_air, 2, None, 0
is_compressed_air, 3, None, 0
is_compressed_air, 4, None, 0
is_compressed_air, 5, None, 0
is_compressed_air, 6, None, 0
is_compressed_air, 7, None, 0
is_drying_separation, 0, dummy_tech, 1.0
is_drying_separation, 1, None, 0
is_drying_separation, 2, None, 0
is_drying_separation, 3, None, 0
is_drying_separation, 4, None, 0
is_drying_separation, 5, None, 0
is_drying_separation, 6, None, 0
is_drying_separation, 7, None, 0
