service, fueltype, service_p
rs_lighting, 0, 0.0
rs_lighting, 1, 0.0
rs_lighting, 2, 0.9999999999999999
rs_lighting, 3, 0.0
rs_lighting, 4, 0.0
rs_lighting, 5, 0.0
rs_lighting, 6, 0.0
rs_lighting, 7, 0.0
rs_cold, 0, 0.0
rs_cold, 1, 0.0
rs_cold, 2, 1.0
rs_cold, 3, 0.0
rs_cold, 4, 0.0
rs_cold, 5, 0.0
rs_cold, 6, 0.0
rs_cold, 7, 0.0
rs_wet, 0, 0.0
rs_wet, 1, 0.0
rs_wet, 2, 0.9999999999999999
rs_wet, 3, 0.0
rs_wet, 4, 0.0
rs_wet, 5, 0.0
rs_wet, 6, 0.0
rs_wet, 7, 0.0
rs_consumer_electronics, 0, nan
rs_consumer_electronics, 1, nan
rs_consumer_electronics, 2, nan
rs_consumer_electronics, 3, nan
rs_consumer_electronics, 4, nan
rs_consumer_electronics, 5, nan
rs_consumer_electronics, 6, nan
rs_consumer_electronics, 7, nan
rs_home_computing, 0, nan
rs_home_computing, 1, nan
rs_home_computing, 2, nan
rs_home_computing, 3, nan
rs_home_computing, 4, nan
rs_home_computing, 5, nan
rs_home_computing, 6, nan
rs_home_computing, 7, nan
rs_cooking, 0, 0.0
rs_cooking, 1, 0.0
rs_cooking, 2, 0.9999999999999999
rs_cooking, 3, 0.0
rs_cooking, 4, 0.0
rs_cooking, 5, 0.0
rs_cooking, 6, 0.0
rs_cooking, 7, 0.0
rs_space_heating, 0, 0.01538239657330049
rs_space_heating, 1, 0.7525577064581143
rs_space_heating, 2, 0.09483380270411501
rs_space_heating, 3, 0.08000684751571231
rs_space_heating, 4, 0.0015933956609793336
rs_space_heating, 5, 0.05562585108777853
rs_space_heating, 6, 0.0
rs_space_heating, 7, 0.0
rs_water_heating, 0, 0.013833020262844255
rs_water_heating, 1, 0.7185579245071354
rs_water_heating, 2, 0.12000060730332862
rs_water_heating, 3, 0.04290485553069173
rs_water_heating, 4, 0.0
rs_water_heating, 5, 0.10470359239600002
rs_water_heating, 6, 0.0
rs_water_heating, 7, 0.0
