service, fueltype, technology, service_p
rs_lighting, 0, None, 0
rs_lighting, 1, None, 0
rs_lighting, 2, standard_lighting_bulb, 0.022160664819944595
rs_lighting, 2, halogen, 0.5584487534626038
rs_lighting, 2, fluorescent_strip_lightinging, 0.10470914127423821
rs_lighting, 2, energy_saving_lighting_bulb, 0.30138504155124646
rs_lighting, 2, LED, 0.013296398891966757
rs_lighting, 3, None, 0
rs_lighting, 4, None, 0
rs_lighting, 5, None, 0
rs_lighting, 6, None, 0
rs_lighting, 7, None, 0
rs_cold, 0, None, 0
rs_cold, 1, None, 0
rs_cold, 2, chest_freezer, 0.09610113324878289
rs_cold, 2, fridge_freezer, 0.5773432066440289
rs_cold, 2, refrigerator, 0.140408296853905
rs_cold, 2, upright_freezer, 0.1861473632532831
rs_cold, 3, None, 0
rs_cold, 4, None, 0
rs_cold, 5, None, 0
rs_cold, 6, None, 0
rs_cold, 7, None, 0
rs_wet, 0, None, 0
rs_wet, 1, None, 0
rs_wet, 2, washing_machine, 0.16934627269215913
rs_wet, 2, washer_dryer, 0.37900733874082654
rs_wet, 2, dishwasher, 0.14073966782541522
rs_wet, 2, tumble_dryer, 0.3109067207415991
rs_wet, 3, None, 0
rs_wet, 4, None, 0
rs_wet, 5, None, 0
rs_wet, 6, None, 0
rs_wet, 7, None, 0
rs_consumer_electronics, 0, dummy_tech, 0.0
rs_consumer_electronics, 1, None, 0
rs_consumer_electronics, 2, None, 0
rs_consumer_electronics, 3, None, 0
rs_consumer_electronics, 4, None, 0
rs_consumer_electronics, 5, None, 0
rs_consumer_electronics, 6, None, 0
rs_consumer_electronics, 7, None, 0
rs_home_computing, 0, dummy_tech, 0.0
rs_home_computing, 1, None, 0
rs_home_computing, 2, None, 0
rs_home_computing, 3, None, 0
rs_home_computing, 4, None, 0
rs_home_computing, 5, None, 0
rs_home_computing, 6, None, 0
rs_home_computing, 7, None, 0
rs_cooking, 0, None, 0
rs_cooking, 1, None, 0
rs_cooking, 2, hob_electricity, 0.5708737864077669
rs_cooking, 2, oven_electricity, 0.42912621359223296
rs_cooking, 2, hob_induction_electricity, 0.0
rs_cooking, 3, None, 0
rs_cooking, 4, None, 0
rs_cooking, 5, None, 0
rs_cooking, 6, None, 0
rs_cooking, 7, None, 0
rs_space_heating, 0, boiler_solid_fuel, 1.0
rs_space_heating, 1, boiler_gas, 1.0
rs_space_heating, 2, heat_pumps_electricity, 0.05282930265320497
rs_space_heating, 2, hybrid_gas_electricity, 0.045550598732096735
rs_space_heating, 2, storage_heater_electricity, 0.3756750410894576
rs_space_heating, 2, secondary_heater_electricity, 0.5259450575252407
rs_space_heating, 3, boiler_oil, 1.0
rs_space_heating, 4, boiler_heat_sold, 0.9999999999999999
rs_space_heating, 5, boiler_biomass, 1.0
rs_space_heating, 6, boiler_hydrogen, 0.0
rs_space_heating, 7, None, 0
rs_water_heating, 0, boiler_solid_fuel, 0.9999999999999999
rs_water_heating, 1, boiler_gas, 1.0
rs_water_heating, 2, hybrid_gas_electricity, 0.038453914767096135
rs_water_heating, 2, boiler_electricity, 0.9615460852329039
rs_water_heating, 3, boiler_oil, 1.0
rs_water_heating, 4, boiler_heat_sold, 0.0
rs_water_heating, 5, boiler_biomass, 1.0
rs_water_heating, 6, boiler_hydrogen, 0.0
rs_water_heating, 7, None, 0
