service, fueltype, service_p
ss_other_electricity, 0, nan
ss_other_electricity, 1, nan
ss_other_electricity, 2, nan
ss_other_electricity, 3, nan
ss_other_electricity, 4, nan
ss_other_electricity, 5, nan
ss_other_electricity, 6, nan
ss_other_electricity, 7, nan
ss_cooling_ventilation, 0, nan
ss_cooling_ventilation, 1, nan
ss_cooling_ventilation, 2, nan
ss_cooling_ventilation, 3, nan
ss_cooling_ventilation, 4, nan
ss_cooling_ventilation, 5, nan
ss_cooling_ventilation, 6, nan
ss_cooling_ventilation, 7, nan
ss_catering, 0, nan
ss_catering, 1, nan
ss_catering, 2, nan
ss_catering, 3, nan
ss_catering, 4, nan
ss_catering, 5, nan
ss_catering, 6, nan
ss_catering, 7, nan
ss_computing, 0, nan
ss_computing, 1, nan
ss_computing, 2, nan
ss_computing, 3, nan
ss_computing, 4, nan
ss_computing, 5, nan
ss_computing, 6, nan
ss_computing, 7, nan
ss_other_gas, 0, nan
ss_other_gas, 1, nan
ss_other_gas, 2, nan
ss_other_gas, 3, nan
ss_other_gas, 4, nan
ss_other_gas, 5, nan
ss_other_gas, 6, nan
ss_other_gas, 7, nan
ss_water_heating, 0, nan
ss_water_heating, 1, nan
ss_water_heating, 2, nan
ss_water_heating, 3, nan
ss_water_heating, 4, nan
ss_water_heating, 5, nan
ss_water_heating, 6, nan
ss_water_heating, 7, nan
ss_space_heating, 0, 0.0
ss_space_heating, 1, 0.7329995706383317
ss_space_heating, 2, 0.13038838472472916
ss_space_heating, 3, 0.08625584119454253
ss_space_heating, 4, 0.03331513062182409
ss_space_heating, 5, 0.01704107282057268
ss_space_heating, 6, 0.0
ss_space_heating, 7, 0.0
ss_lighting, 0, nan
ss_lighting, 1, nan
ss_lighting, 2, nan
ss_lighting, 3, nan
ss_lighting, 4, nan
ss_lighting, 5, nan
ss_lighting, 6, nan
ss_lighting, 7, nan
