station_id, station_latitude, station_longitude
971, 55.8695, -4.42948
1198, 52.1391, -4.56999
14093, 57.1816, -5.37346
1450, 54.6636, -6.22436
660, 52.2477, -1.93352
1431, 54.8856, -6.96549
17101, 54.233, -10.0
1067, 54.6197, -3.07912
889, 51.1613, -1.75317
1605, -15.933, -5.667
18912, 51.385, -2.71285
605, 51.758, -1.57649
1395, 50.2178, -5.32656
455, 52.245, 0.10196
1272, 51.4878, -3.18728
24089, 53.3, -6.39999
1346, 51.0886, -4.14743
595, 52.3584, -1.32987
393, 53.0935, -0.17119
24090, 53.9, -8.81703
17091, 51.849, -8.483
386, 53.0309, -0.50194
1393, 50.0838, -5.25609
24103, 54.1891, -7.56057
17097, 53.433, -6.25007
1383, 50.8597, -3.2389
593, 52.4524, -1.74099
1378, 50.7366, -3.40458
676, 51.5214, -2.57577
24275, 54.5, -8.23294
56904, 51.1412, 0.59737
358, 54.3586, -0.66999
725, 51.151, -0.19111
56937, 55.2344, -6.51112
1585, 36.15, -5.35
940, 55.7493, -4.90659
711, 51.4114, -0.37652
367, 54.1048, -0.64149
18923, 53.6297, -0.28041
842, 50.7789, -1.83483
23417, 55.6813, -6.24866
1319, 50.5216, -2.45431
1575, 49.208, -2.196
56370, 52.3, -6.5
622, 52.9986, -2.2688
57254, 55.302, -2.50409
48, 58.2306, -3.92063
1190, 52.757, -3.46411
888, 51.2012, -1.80443
17314, 54.2968, -1.53145
9, 60.1395, -1.18299
1249, 51.924, -3.48781
346, 54.045, -1.24956
13343, 54.7428, -4.95741
18929, 51.5208, 0.07579
466, 51.8813, -0.37555
56907, 53.317, -9.9
847, 51.1493, -1.56851
18930, 52.3878, 0.53367
1215, 51.7084, -5.05229
61948, 52.7128, -2.24066
1609, -51.817, -58.45
709, 51.5481, -0.41534
1352, 50.7682, -3.90277
4911, 52.6781, 1.28133
56906, 52.861, -6.915
862, 51.2385, -0.94346
855, 51.0084, -1.33388
1226, 51.714, -4.36632
634, 52.5896, -2.94823
657, 52.148, -2.03979
