year,semi_detached,terraced,flat,detached,bungalow
1970,32.79013184,31.50002829,16.99768008,10.83573813,7.87642166
1971,32.79013184,31.50002829,16.99768008,10.83573813,7.87642166
1972,33.09835515,31.30245049,17.12543359,10.52366566,7.95009511
1973,34.2503744,30.57296578,16.62321815,10.64950912,7.903932553
1974,33.75446306,29.51386982,17.40181269,11.05740181,8.272452623
1975,33.82313219,30.40894603,17.58954135,10.59370104,7.58467938
1976,35.249654,29.85201746,17.34802513,9.640157564,7.910145853
1977,33.01777638,30.52487641,16.75081519,11.58619964,8.120332387
1978,32.53560955,29.7392124,16.94072057,12.29053205,8.493925429
1979,32.26505651,30.68586468,15.42550446,13.14961036,8.473963978
1980,32.04787234,31.77680033,15.67614566,12.57671849,7.922463175
1981,31.84606804,30.73061907,15.47938955,13.45130051,8.492622826
1982,31.86188151,30.73438365,15.47792822,13.43937182,8.486434791
1983,31.60384405,30.61295623,15.50565155,13.51889658,8.758651596
1984,31.61220259,30.62000197,15.51485833,13.49590285,8.757034258
1985,31.50999658,30.31725082,15.67678545,13.74101774,8.754949406
1986,31.58889373,30.38232301,15.59335175,13.68415952,8.751271987
1987,30.9596929,29.75527831,16.05566219,14.17466411,9.054702495
1988,30.68392747,29.37984865,16.39141402,14.49716815,9.047641711
1989,30.62011857,28.20175026,17.25322292,15.07951444,8.845393808
1990,30.78709078,28.16809844,17.06059902,15.24495008,8.739261667
1991,30.39017208,28.38869973,17.55314254,14.84310297,8.824882672
1992,30.09244501,28.48945763,17.95163714,14.54073501,8.925725215
1993,29.69715975,28.08440104,18.35409014,14.83738016,9.02696891
1994,29.48740688,27.6782547,18.64579638,15.15608372,9.032458319
1995,29.28414581,27.78216952,18.75274484,15.25252525,8.928414581
1996,29.2903615,27.5755095,18.85475462,15.45090267,8.828471714
1997,29.28059689,27.49162745,18.85624656,15.64712366,8.724405443
1998,29.27950518,27.47826814,18.85656971,15.65947844,8.726178536
1999,29.18912196,27.37749772,18.85830362,15.84860294,8.726473758
2000,29.08291199,27.18378756,18.85148189,16.25354544,8.628273112
2001,28.48813504,27.78683846,19.05324961,16.24806328,8.42371361
2002,28.48806581,27.78700815,19.05418001,16.24589699,8.42484905
2003,28.31601836,28.90070065,17.07175646,16.39526456,9.316259966
2004,28.71225535,28.36770828,16.37077092,17.09336268,9.455902761
2005,27.42371755,28.99919328,17.08347174,17.45835904,9.035258388
2006,27.93282876,29.03027436,17.01513718,17.28949858,8.732261116
2007,27.844775,27.9573929,16.67683356,18.34733236,9.173666182
2008,26.36240101,28.68656577,18.70577761,17.25317464,8.992080971
2009,25.70166465,28.85850072,19.27031979,16.99743322,9.172081626
2010,26.65505428,28.43941688,18.72986972,17.23563775,8.940021369
2011,25.99852842,28.24379596,20.33483007,16.63519158,8.770164396
2015,26,28.3,20.3,16.6,8.8
