East_Anglia Mean Temperature (Degrees C)
Areal series, starting from 1910
Allowances have been made for topographic, coastal and urban effects where relationships are found to exist.
Seasons: Winter=Dec-Feb, Spring=Mar-May, Summer=June-Aug, Autumn=Sept-Nov. (Winter: Year refers to Jan/Feb).
Monthly values are ranked and displayed to 1 dp and seasonal/annual values to 2 dp. Where values are equal, rankings are based in order of year descending.
Data are provisional from February 2016 and Winter 2016.  Last updated 02/03/2017.

Year    JAN    FEB    MAR    APR    MAY    JUN    JUL    AUG    SEP    OCT    NOV    DEC     WIN    SPR    SUM    AUT     ANN
1910    3.3    4.8    5.6    7.6   11.3   15.0   14.4   15.9   13.0   11.4    3.3    6.1     ---   8.20  15.10   9.30    9.36
1911    3.1    4.4    5.0    7.8   12.6   14.7   18.4   19.2   15.0    9.9    6.1    5.7    4.51   8.48  17.47  10.35   10.20
1912    3.5    5.3    7.4    8.6   12.5   14.5   16.8   13.8   11.5    8.4    5.8    6.5    4.86   9.52  15.03   8.55    9.57
1913    4.2    4.6    6.5    7.9   12.3   14.5   14.3   15.4   14.5   11.4    8.1    4.6    5.10   8.91  14.71  11.31    9.87
1914    2.8    6.4    6.1    9.5   11.0   14.5   16.7   16.8   13.8   10.6    6.7    4.8    4.56   8.86  16.03  10.39   10.00
1915    3.6    4.1    5.0    7.5   10.8   14.3   15.4   15.8   13.7    9.4    3.7    5.5    4.19   7.78  15.19   8.95    9.11
1916    6.8    3.6    3.6    8.4   12.2   11.7   15.1   16.6   13.0   10.8    6.5    2.3    5.29   8.08  14.51  10.10    9.24
1917    1.4    0.8    2.7    5.0   13.1   16.3   16.4   16.0   14.4    7.8    7.4    1.7    1.55   6.97  16.26   9.83    8.64
1918    3.0    5.8    5.7    6.5   12.5   13.1   15.9   16.6   12.7    9.2    5.5    6.6    3.42   8.25  15.23   9.11    9.45
1919    2.5    1.4    3.8    7.1   12.8   14.3   13.7   16.5   13.4    7.3    3.1    4.8    3.57   7.91  14.87   7.94    8.45
1920    4.7    5.5    7.4    8.7   12.5   14.7   14.9   13.8   13.5   10.6    6.0    3.9    4.99   9.53  14.47  10.02    9.69
1921    7.0    4.5    7.4    8.4   12.0   14.2   18.5   16.7   14.9   13.3    4.1    6.0    5.15   9.27  16.50  10.78   10.63
1922    3.3    4.3    4.8    5.8   13.2   14.2   14.2   14.2   12.4    8.7    5.2    5.3    4.56   7.97  14.20   8.78    8.84
1923    4.6    5.4    6.3    7.8   10.1   12.3   18.3   16.0   12.9   10.0    3.2    2.6    5.06   8.08  15.55   8.73    9.16
1924    3.9    2.5    4.0    7.4   12.3   14.7   16.1   14.8   14.0   10.7    6.9    5.9    3.01   7.87  15.21  10.52    9.44
1925    4.8    5.0    4.7    7.6   12.3   14.5   17.2   16.0   11.8   10.7    4.4    2.6    5.24   8.21  15.95   8.98    9.34
1926    3.6    6.7    6.5    9.5   10.3   13.6   16.6   16.6   15.2    8.5    6.6    3.8    4.21   8.77  15.65  10.09    9.81
1927    4.1    3.9    7.3    8.4   11.1   13.0   15.6   16.3   13.0   10.5    5.9    1.8    3.93   8.96  14.96   9.83    9.28
1928    4.6    5.6    6.2    8.1   10.3   13.4   17.4   15.9   13.3   10.6    7.8    3.3    3.97   8.18  15.59  10.56    9.71
1929    1.2   -0.6    5.7    6.2   11.0   13.5   16.5   16.1   16.6    9.9    6.5    5.6    1.36   7.68  15.40  11.01    9.10
1930    5.6    3.1    5.5    8.1   11.1   15.5   15.8   16.5   14.1   10.7    6.3    3.9    4.84   8.24  15.94  10.37    9.73
1931    3.1    3.5    3.8    8.0   11.6   15.0   16.1   14.6   11.8    9.2    7.6    4.9    3.49   7.83  15.23   9.51    9.14
1932    5.6    2.8    4.5    7.1   10.8   13.8   16.7   18.2   13.8    9.1    6.6    5.1    4.49   7.45  16.26   9.84    9.54
1933    2.2    4.1    7.2    9.1   11.8   14.9   18.1   18.2   15.5   10.5    5.8    1.1    3.79   9.36  17.09  10.60    9.90
1934    3.6    3.2    4.8    8.3   11.5   14.8   17.6   16.0   15.2   10.9    6.0    7.8    2.61   8.18  16.17  10.67   10.01
1935    4.1    5.6    6.3    8.0   10.0   15.4   17.7   17.3   14.1    9.8    7.1    2.8    5.84   8.10  16.85  10.32    9.88
1936    3.9    2.2    7.0    6.4   11.4   15.1   15.9   16.2   14.7    9.2    5.7    4.7    2.99   8.27  15.71   9.84    9.38
1937    4.6    5.5    3.7    8.6   12.2   14.5   16.5   17.3   13.8   11.0    5.4    2.8    4.93   8.18  16.14  10.05    9.69
1938    5.3    4.7    9.1    7.0   10.5   15.3   15.8   16.7   14.4   10.0    9.0    3.5    4.27   8.92  15.93  11.11   10.14
1939    4.4    5.3    5.5    8.7   10.8   14.0   16.0   16.9   15.2    8.7    8.5    2.8    4.37   8.35  15.64  10.77    9.75
1940   -1.5    1.5    5.9    8.5   12.3   16.1   15.5   15.8   13.4    9.7    6.8    3.3    0.92   8.90  15.80   9.95    8.95
1941    0.5    3.2    5.0    6.7    9.1   15.0   18.3   14.9   14.7   10.2    6.1    4.8    2.29   6.92  16.08  10.36    9.07
1942    0.1   -0.2    4.4    8.8   11.2   14.3   15.9   17.2   14.4   11.1    5.3    6.0    1.60   8.15  15.83  10.29    9.10
1943    4.4    5.3    6.4   11.1   12.6   14.8   16.7   16.9   14.0   11.2    5.8    3.5    5.23  10.04  16.12  10.35   10.25
1944    5.6    3.2    4.8    9.9   11.3   13.8   16.8   18.1   13.0    9.6    6.2    3.0    4.10   8.66  16.23   9.58    9.61
1945    0.2    7.1    8.1    9.9   12.7   15.1   17.4   16.1   14.8   11.9    7.4    4.6    3.31  10.24  16.19  11.39   10.46
1946    3.2    5.8    5.0    9.8   10.5   13.5   16.9   15.3   14.4   10.3    7.8    2.5    4.49   8.40  15.24  10.82    9.58
1947    1.4   -2.2    3.7    8.8   13.7   16.3   17.9   18.7   15.8   10.9    7.1    5.1    0.67   8.76  17.62  11.24    9.83
1948    5.5    4.5    8.1    9.3   11.3   14.0   15.6   15.5   14.3   10.1    6.4    5.7    5.04   9.54  15.07  10.29   10.05
1949    4.7    5.3    4.4   10.5   10.6   14.5   17.4   17.2   17.3   12.0    6.2    5.5    5.23   8.47  16.38  11.82   10.48
1950    3.9    5.7    7.3    7.7   10.8   16.7   16.6   16.5   13.5   10.0    5.8    0.9    5.02   8.61  16.61   9.77    9.64
1951    3.8    3.5    4.5    6.8   10.2   13.8   16.8   15.6   14.7    9.8    8.3    5.3    2.72   7.17  15.43  10.91    9.46
1952    2.8    2.8    6.2    9.6   13.0   15.0   17.1   16.9   11.4    9.1    3.9    2.5    3.64   9.60  16.34   8.13    9.21
1953    2.7    3.8    5.2    7.6   12.4   13.9   15.9   16.4   14.0   10.4    8.0    6.9    2.99   8.41  15.40  10.77    9.80
