England_NW_and_N_Wales Mean Temperature (Degrees C)
Areal series, starting from 1910
Allowances have been made for topographic, coastal and urban effects where relationships are found to exist.
Seasons: Winter=Dec-Feb, Spring=Mar-May, Summer=June-Aug, Autumn=Sept-Nov. (Winter: Year refers to Jan/Feb).
Monthly values are ranked and displayed to 1 dp and seasonal/annual values to 2 dp. Where values are equal, rankings are based in order of year descending.
Data are provisional from February 2016 and Winter 2016.  Last updated 02/03/2017.

Year    JAN    FEB    MAR    APR    MAY    JUN    JUL    AUG    SEP    OCT    NOV    DEC     WIN    SPR    SUM    AUT     ANN
1910    2.8    4.2    5.6    6.1   10.2   13.6   13.4   13.9   11.7    9.7    2.9    5.6     ---   7.31  13.63   8.10    8.34
1911    3.7    4.0    4.4    6.6   12.1   13.2   16.4   16.7   12.5    8.6    5.2    5.6    4.45   7.70  15.47   8.76    9.11
1912    2.9    4.3    6.1    8.1   10.4   12.6   14.8   11.6   10.2    8.0    5.7    5.9    4.27   8.19  13.01   7.95    8.40
1913    3.4    4.4    4.9    7.1   10.0   12.8   13.8   14.2   13.1   10.1    7.6    4.5    4.60   7.34  13.61  10.27    8.86
1914    3.1    6.0    5.0    8.6    9.3   13.1   14.6   14.9   12.3    9.4    5.9    3.7    4.47   7.61  14.21   9.22    8.83
1915    3.3    3.2    4.3    6.9    9.6   13.1   13.2   13.9   12.5    8.2    1.9    4.1    3.38   6.90  13.38   7.53    7.87
1916    6.8    2.9    2.3    7.0    9.9   10.7   14.0   15.0   12.1    9.5    6.3    1.9    4.63   6.41  13.26   9.30    8.21
1917    1.0    0.5    2.4    4.2   11.3   13.1   14.9   14.2   13.0    6.8    7.3    2.3    1.13   5.97  14.08   9.01    7.62
1918    3.4    6.0    4.8    6.1   11.4   11.7   13.9   14.8   10.6    8.4    4.9    6.1    3.83   7.43  13.47   7.96    8.52
1919    2.5    1.3    2.2    6.0   12.2   12.6   12.9   13.8   11.6    7.2    2.5    4.6    3.34   6.83  13.09   7.11    7.49
1920    4.2    5.2    5.8    6.8   10.3   13.0   12.8   12.5   11.8    9.9    6.8    3.5    4.65   7.64  12.77   9.47    8.55
1921    6.2    4.1    6.0    7.0    9.8   13.0   16.4   13.7   12.8   12.1    4.3    6.0    4.62   7.60  14.38   9.73    9.32
1922    2.9    3.7    3.8    4.5   10.7   12.1   12.1   12.1   11.0    7.7    5.6    5.1    4.20   6.36  12.10   8.05    7.62
1923    5.2    4.5    5.8    6.4    7.7   11.1   15.7   13.5   11.2    8.7    3.1    3.3    4.97   6.64  13.46   7.68    8.06
1924    3.9    2.8    3.3    5.7   10.0   12.5   13.8   12.9   12.2    9.2    6.3    6.5    3.33   6.30  13.05   9.22    8.26
1925    4.7    3.9    4.2    6.5   10.2   13.6   15.6   14.3   10.5    9.4    2.6    2.2    5.11   6.94  14.52   7.53    8.17
1926    4.3    5.7    5.3    8.4    8.9   12.3   15.9   14.9   13.0    7.1    4.9    3.8    4.00   7.51  14.41   8.31    8.72
1927    4.1    3.6    6.0    6.7    9.7   10.8   14.8   14.4   11.4    9.6    5.4    1.5    3.82   7.46  13.36   8.82    8.19
1928    4.5    5.1    4.9    7.5    9.9   11.3   13.9   14.0   11.6    9.2    6.8    3.1    3.65   7.42  13.08   9.17    8.48
1929    1.3    0.3    5.6    5.7   10.4   11.9   14.4   13.7   13.5    8.6    6.0    4.9    1.61   7.25  13.33   9.35    8.07
1930    4.4    1.5    4.0    7.1    9.5   13.7   13.8   14.1   12.4    9.5    5.4    3.9    3.69   6.89  13.88   9.09    8.32
1931    2.6    3.1    3.2    6.6   10.0   12.7   13.9   13.1   10.7    8.1    7.0    5.0    3.21   6.59  13.24   8.56    8.02
1932    5.6    2.8    3.9    5.6    9.1   13.1   14.7   15.3   11.8    7.8    5.9    5.2    4.50   6.22  14.38   8.47    8.42
1933    1.9    3.3    6.4    7.8   10.8   14.2   16.0   15.9   13.7    9.2    4.8    1.5    3.48   8.31  15.37   9.23    8.81
1934    4.0    3.6    3.9    6.6    9.6   13.4   16.6   13.7   13.1    9.4    5.4    7.1    3.01   6.69  14.58   9.31    8.90
1935    3.9    4.9    5.8    7.0    9.2   13.5   15.3   14.9   12.2    8.4    5.9    2.0    5.31   7.32  14.58   8.82    8.60
1936    2.6    1.9    5.9    5.3   10.3   13.3   13.9   14.6   13.2    8.7    5.1    4.8    2.17   7.18  13.95   8.98    8.32
1937    4.4    4.2    2.4    8.1   10.8   12.5   14.5   15.2   12.1    9.1    4.7    2.2    4.49   7.07  14.09   8.65    8.38
1938    4.9    4.4    7.8    6.6    9.5   12.4   13.3   14.4   12.4    9.6    8.3    3.9    3.80   8.01  13.37  10.10    8.99
1939    3.0    4.6    4.9    7.4   10.4   12.9   14.0   15.2   12.8    7.3    7.5    2.9    3.82   7.58  14.04   9.19    8.60
1940   -1.5    2.0    4.9    7.5   11.2   15.0   13.5   13.9   11.3    8.7    6.1    3.6    1.09   7.88  14.13   8.69    8.02
1941   -0.5    2.2    4.1    5.4    8.4   13.5   15.5   13.4   13.8    9.8    5.8    5.3    1.76   5.98  14.13   9.81    8.10
