England_S Mean Temperature (Degrees C)
Areal series, starting from 1910
Allowances have been made for topographic, coastal and urban effects where relationships are found to exist.
Seasons: Winter=Dec-Feb, Spring=Mar-May, Summer=June-Aug, Autumn=Sept-Nov. (Winter: Year refers to Jan/Feb).
Monthly values are ranked and displayed to 1 dp and seasonal/annual values to 2 dp. Where values are equal, rankings are based in order of year descending.
Data are provisional from February 2016 and Winter 2016.  Last updated 02/03/2017.

Year    JAN    FEB    MAR    APR    MAY    JUN    JUL    AUG    SEP    OCT    NOV    DEC     WIN    SPR    SUM    AUT     ANN
1910    3.7    5.1    5.9    7.4   11.3   14.8   14.4   15.4   12.9   11.0    3.7    6.3     ---   8.22  14.84   9.25    9.35
1911    3.4    4.6    5.2    7.5   12.8   14.7   18.4   18.7   14.7    9.8    6.0    6.2    4.75   8.50  17.28  10.15   10.19
1912    3.7    5.4    7.3    8.8   12.2   13.9   16.3   13.1   11.3    8.3    6.1    6.8    5.09   9.46  14.42   8.57    9.45
1913    4.6    4.6    6.3    7.9   11.7   14.1   14.7   15.5   14.2   11.3    8.2    4.9    5.33   8.66  14.77  11.22    9.85
1914    3.0    6.5    6.2    9.6   10.8   14.4   16.0   16.3   13.5   10.4    6.7    4.8    4.72   8.88  15.61  10.20    9.87
1915    3.9    4.2    5.0    7.6   11.2   14.2   14.8   15.5   13.4    9.2    3.4    5.7    4.29   7.94  14.81   8.69    9.03
1916    7.2    3.7    3.5    8.3   11.7   11.6   15.2   16.5   13.1   11.0    6.4    2.0    5.54   7.85  14.46  10.16    9.20
1917    1.3    1.0    3.2    5.4   12.8   15.3   15.9   15.5   14.1    7.9    7.8    2.0    1.47   7.13  15.58   9.90    8.55
1918    3.6    6.2    5.9    6.7   12.7   13.1   15.7   16.1   12.5    9.2    5.7    7.0    3.85   8.46  14.98   9.13    9.56
1919    2.8    1.8    3.9    7.0   12.9   14.1   14.0   16.3   13.1    7.4    3.3    5.5    3.95   7.95  14.80   7.91    8.55
1920    5.1    5.8    7.2    8.5   11.9   14.3   14.3   13.6   13.1   10.7    6.5    4.2    5.43   9.19  14.08  10.09    9.60
1921    7.2    4.6    7.2    8.3   11.5   14.6   18.5   15.8   14.6   13.0    4.9    6.2    5.35   9.03  16.30  10.87   10.59
1922    3.9    4.6    4.8    5.8   12.8   14.0   13.8   13.6   12.3    8.4    5.4    5.5    4.93   7.82  13.79   8.69    8.77
1923    5.0    5.8    6.5    7.8    9.8   12.5   17.7   15.5   12.6    9.9    3.2    3.7    5.44   7.99  15.26   8.59    9.18
1924    4.6    2.8    4.3    7.2   11.6   14.0   15.3   14.3   13.5   10.4    7.0    6.4    3.69   7.74  14.54  10.28    9.30
1925    5.2    5.2    4.8    7.4   11.5   14.9   16.8   15.7   11.7   10.7    4.1    3.0    5.61   7.94  15.78   8.86    9.29
1926    4.2    6.9    6.4    9.1   10.2   13.4   16.7   16.4   15.0    8.4    6.3    4.0    4.64   8.57  15.53   9.88    9.76
1927    4.4    4.1    7.3    8.2   11.4   12.7   15.5   15.7   12.7   10.5    6.1    2.1    4.15   8.97  14.67   9.77    9.26
1928    5.0    5.8    6.2    8.1   10.7   13.1   16.7   15.5   13.0   10.4    7.8    3.5    4.29   8.34  15.14  10.41    9.67
1929    1.4    0.2    6.1    6.5   11.0   13.2   16.1   15.5   16.2    9.8    6.7    5.8    1.71   7.89  14.96  10.88    9.09
1930    5.7    2.8    5.4    8.2   10.8   15.3   15.3   16.0   13.8   10.7    6.5    4.3    4.83   8.12  15.52  10.33    9.60
1931    3.3    3.9    4.1    7.7   11.1   14.5   15.3   14.5   11.7    9.0    7.7    5.2    3.85   7.66  14.78   9.47    9.04
1932    6.0    2.8    4.6    6.8   10.3   13.9   16.0   17.6   13.5    9.0    6.6    5.3    4.70   7.23  15.84   9.69    9.38
1933    2.3    4.1    7.3    8.8   11.9   15.1   17.7   17.7   15.2   10.3    5.7    1.1    3.89   9.34  16.84  10.36    9.79
1934    3.9    3.2    5.0    7.9   11.4   15.0   17.9   15.3   14.6   10.6    6.1    7.9    2.74   8.10  16.10  10.40    9.95
