England_SE_and_Central_S Mean Temperature (Degrees C)
Areal series, starting from 1910
Allowances have been made for topographic, coastal and urban effects where relationships are found to exist.
Seasons: Winter=Dec-Feb, Spring=Mar-May, Summer=June-Aug, Autumn=Sept-Nov. (Winter: Year refers to Jan/Feb).
Monthly values are ranked and displayed to 1 dp and seasonal/annual values to 2 dp. Where values are equal, rankings are based in order of year descending.
Data are provisional from February 2016 and Winter 2016.  Last updated 02/03/2017.

Year    JAN    FEB    MAR    APR    MAY    JUN    JUL    AUG    SEP    OCT    NOV    DEC     WIN    SPR    SUM    AUT     ANN
1910    3.8    5.1    5.9    7.6   11.5   15.0   14.4   15.5   13.1   11.3    3.6    6.4     ---   8.34  14.97   9.37    9.47
1911    3.1    4.4    5.3    7.2   13.0   14.8   18.7   19.0   15.1   10.0    6.1    6.5    4.63   8.53  17.55  10.39   10.31
1912    4.1    5.6    7.5    9.0   12.6   14.1   16.7   13.4   11.4    8.4    6.0    7.0    5.36   9.71  14.72   8.60    9.66
1913    5.0    4.7    6.7    8.1   12.0   14.3   14.9   15.6   14.4   11.7    8.4    4.9    5.58   8.92  14.97  11.49   10.08
1914    2.6    6.4    6.3    9.8   11.2   14.7   16.2   16.6   13.8   10.5    6.9    5.3    4.58   9.10  15.86  10.38   10.04
1915    3.9    4.3    5.1    7.7   11.6   14.4   15.1   15.9   13.6    9.5    3.5    6.1    4.49   8.14  15.13   8.86    9.25
1916    7.2    3.8    3.9    8.6   12.2   11.8   15.3   16.9   13.4   11.4    6.4    2.4    5.76   8.26  14.71  10.42    9.48
1917    1.3    1.2    3.2    5.5   13.3   15.9   16.0   15.6   14.4    8.1    7.8    1.9    1.63   7.35  15.83  10.09    8.72
1918    3.7    5.9    6.0    6.9   13.1   13.3   15.9   16.2   13.0    9.4    6.1    7.3    3.75   8.67  15.16   9.50    9.75
1919    3.0    2.1    4.4    7.1   13.1   14.2   14.1   16.8   13.6    7.4    3.4    5.6    4.18   8.20  15.07   8.11    8.78
1920    5.1    6.0    7.5    8.8   12.2   14.7   14.5   13.8   13.5   11.1    6.5    4.4    5.55   9.51  14.34  10.37    9.85
1921    7.2    4.7    7.3    8.7   11.9   14.9   18.7   16.2   14.9   13.3    5.0    6.2    5.46   9.29  16.63  11.09   10.79
1922    4.2    4.9    5.1    6.1   13.0   14.4   14.2   14.1   12.5    8.4    5.3    5.6    5.09   8.08  14.21   8.74    9.00
1923    4.7    6.2    6.7    8.1   10.1   12.7   18.0   16.0   13.0   10.3    3.2    3.8    5.47   8.32  15.59   8.86    9.43
1924    4.8    2.7    4.7    7.4   12.0   14.3   15.5   14.5   13.7   10.7    7.2    6.3    3.78   8.03  14.74  10.55    9.50
1925    5.4    5.4    4.8    7.5   11.7   15.2   17.0   15.7   11.8   11.0    4.3    3.2    5.68   7.99  15.99   9.07    9.45
1926    4.3    7.2    6.5    9.0   10.6   13.5   16.9   16.7   15.4    8.6    6.8    3.8    4.81   8.70  15.72  10.24    9.94
1927    4.5    4.1    7.4    8.4   11.9   13.1   15.7   15.9   13.0   10.6    6.1    2.2    4.12   9.24  14.92   9.86    9.43
1928    5.1    6.0    6.4    8.2   11.0   13.4   17.2   15.8   13.2   10.7    8.1    3.5    4.38   8.55  15.51  10.68    9.90
1929    1.2    0.0    6.2    6.6   11.3   13.5   16.5   16.0   16.8    9.9    7.1    6.1    1.62   8.03  15.33  11.25    9.31
1930    6.1    3.0    5.6    8.4   11.0   15.5   15.6   16.3   14.1   10.9    6.8    4.4    5.14   8.33  15.84  10.61    9.87
1931    3.3    3.9    4.5    7.8   11.3   14.8   15.4   15.0   11.6    9.3    7.8    5.2    3.88   7.87  15.05   9.58    9.19
1932    6.0    2.6    4.5    7.1   10.5   14.1   16.1   18.1   13.8    9.3    6.6    5.3    4.66   7.38  16.08   9.88    9.53
1933    2.3    4.2    7.5    8.9   12.2   15.4   18.0   18.1   15.4   10.4    5.6    0.9    3.95   9.53  17.17  10.48    9.93
