England_SW_and_S_Wales Mean Temperature (Degrees C)
Areal series, starting from 1910
Allowances have been made for topographic, coastal and urban effects where relationships are found to exist.
Seasons: Winter=Dec-Feb, Spring=Mar-May, Summer=June-Aug, Autumn=Sept-Nov. (Winter: Year refers to Jan/Feb).
Monthly values are ranked and displayed to 1 dp and seasonal/annual values to 2 dp. Where values are equal, rankings are based in order of year descending.
Data are provisional from February 2016 and Winter 2016.  Last updated 02/03/2017.

Year    JAN    FEB    MAR    APR    MAY    JUN    JUL    AUG    SEP    OCT    NOV    DEC     WIN    SPR    SUM    AUT     ANN
1910    4.5    5.7    6.3    7.1   11.2   14.0   14.2   14.7   12.9   10.9    5.0    6.7     ---   8.21  14.29   9.62    9.45
1911    4.1    5.0    5.3    7.2   12.7   14.3   17.7   17.9   14.3   10.2    6.2    6.9    5.28   8.39  16.66  10.25   10.19
1912    4.4    5.6    7.2    8.9   11.5   12.9   15.4   12.4   11.3    8.7    6.8    7.3    5.64   9.22  13.59   8.92    9.39
1913    5.2    4.9    6.1    7.7   10.9   13.1   14.8   15.5   13.9   11.3    8.6    5.5    5.83   8.25  14.47  11.26    9.82
1914    3.4    6.5    6.3    9.5   10.5   13.9   15.1   15.6   13.4   10.3    6.6    5.0    5.09   8.76  14.87  10.09    9.68
1915    4.3    4.1    4.9    7.7   11.2   13.6   14.0   14.9   13.2    9.3    3.5    6.1    4.47   7.97  14.15   8.67    8.93
1916    7.4    3.9    3.5    7.8   10.8   11.2   14.9   16.0   13.2   11.1    6.5    2.4    5.85   7.36  14.04  10.27    9.08
1917    1.3    1.3    3.7    5.5   12.0   13.9   15.3   14.7   13.5    8.1    8.1    2.7    1.70   7.07  14.64   9.87    8.38
1918    4.3    6.7    5.9    7.0   12.2   12.8   15.0   15.3   12.1    9.2    6.4    7.5    4.48   8.37  14.39   9.24    9.55
1919    3.6    2.7    4.0    6.8   12.4   13.3   14.1   15.8   12.7    8.1    3.5    6.2    4.63   7.72  14.40   8.09    8.63
1920    5.5    6.3    6.7    8.1   11.1   13.7   13.6   13.4   12.8   11.0    7.3    4.6    5.98   8.65  13.60  10.37    9.52
1921    7.4    4.9    6.9    8.2   10.9   14.6   17.9   14.9   14.1   12.9    6.5    6.7    5.67   8.64  15.79  11.20   10.53
1922    4.8    5.2    4.9    5.7   11.9   13.4   13.1   13.1   12.3    8.4    6.0    6.0    5.58   7.53  13.19   8.87    8.75
1923    5.5    6.4    6.6    7.6    9.4   12.5   16.6   14.8   12.1    9.9    3.7    5.0    5.97   7.88  14.67   8.61    9.21
1924    5.4    3.4    4.8    6.9   10.8   13.2   14.3   13.6   12.9   10.3    7.0    7.1    4.62   7.50  13.73  10.08    9.17
1925    6.0    5.4    5.0    7.3   10.5   14.7   15.8   15.2   11.5   10.8    4.2    3.9    6.17   7.58  15.23   8.87    9.21
1926    5.2    7.0    6.3    8.7    9.9   12.7   16.5   16.0   14.6    8.5    6.3    4.4    5.32   8.34  15.09   9.80    9.70
1927    5.0    4.4    7.1    7.7   11.5   12.3   15.3   15.1   12.4   10.6    6.6    3.0    4.64   8.77  14.26   9.84    9.28
1928    5.6    6.2    5.9    8.1   11.0   12.7   15.4   14.8   12.6   10.6    8.1    4.2    4.87   8.35  14.32  10.43    9.61
1929    2.0    1.4    6.4    6.8   10.6   12.5   15.2   14.5   15.4    9.7    7.0    6.2    2.59   7.92  14.10  10.72    9.03
1930    5.6    2.5    5.4    8.1   10.4   14.6   14.6   15.0   13.6   10.7    6.8    5.1    4.86   7.95  14.73  10.38    9.41
1931    3.9    4.4    4.3    7.3   10.4   13.6   14.2   14.3   11.7    9.2    8.0    5.7    4.48   7.34  14.07   9.62    8.95
1932    6.4    3.0    4.8    6.5    9.6   13.8   15.0   16.8   13.2    9.0    6.9    5.6    5.09   6.96  15.23   9.71    9.25
1933    2.7    4.0    7.3    8.2   11.5   14.6   16.5   16.7   14.8   10.2    5.8    1.3    4.12   8.99  15.96  10.26    9.49
1934    4.5    3.3    5.1    7.3   10.8   14.8   17.5   14.4   13.7   10.3    6.2    8.2    3.04   7.73  15.57  10.08    9.72
1935    4.8    5.7    6.0    7.9   10.2   13.8   16.6   15.7   13.5    9.7    6.5    3.7    6.26   8.04  15.38   9.87    9.52
1936    4.6    3.4    6.8    6.2   11.2   13.9   14.4   15.5   14.1    9.4    6.2    5.8    3.91   8.10  14.59   9.91    9.32
1937    5.5    6.1    3.8    9.2   11.5   13.5   15.1   16.3   13.2   10.3    5.7    3.6    5.79   8.16  14.97   9.72    9.49
1938    6.0    4.9    8.1    7.5   10.1   13.3   14.0   15.2   13.3   10.6    9.2    4.7    4.82   8.61  14.19  11.02    9.78
1939    4.8    5.6    6.2    8.3   11.1   14.1   14.2   15.8   13.8    8.5    9.0    3.5    5.03   8.53  14.72  10.43    9.60
1940    0.2    4.0    6.0    8.6   12.0   15.7   14.2   15.5   12.9    9.8    7.3    4.3    2.54   8.88  15.13   9.96    9.21
1941    1.4    3.8    5.4    6.3    8.7   14.1   15.9   14.4   14.2   10.6    7.1    6.0    3.15   6.78  14.80  10.61    9.00
1942    2.6    0.8    6.0    9.1   10.4   13.7   14.8   15.5   13.5   10.3    5.3    7.3    3.24   8.47  14.64   9.71    9.16
1943    6.0    6.0    6.8   10.0   11.3   13.4   15.7   15.1   12.5   10.6    6.8    4.0    6.46   9.34  14.72   9.98    9.86
1944    6.4    3.7    5.3    9.6   10.8   13.2   15.4   16.4   12.3    9.3    6.8    4.5    4.74   8.54  15.05   9.48    9.51
1945    1.1    6.8    7.2    9.9   11.4   13.4   15.2   15.3   14.0   11.8    7.4    6.0    4.03   9.51  14.65  11.07    9.98
1946    3.6    6.3    5.3    9.3   10.4   12.0   14.9   13.8   13.4   10.3    8.4    3.7    5.30   8.31  13.60  10.69    9.29
1947    2.7   -1.4    4.3    8.0   11.8   14.0   15.4   18.1   14.3   10.5    7.8    5.5    1.76   8.03  15.87  10.90    9.33
1948    5.7    4.6    8.3    8.4   11.2   13.1   14.9   14.6   13.4   10.2    8.3    6.0    5.31   9.32  14.21  10.66    9.92
1949    5.8    5.7    5.7    9.3   10.5   14.6   17.0   16.1   15.7   12.0    7.0    6.1    5.85   8.47  15.93  11.59   10.49
1950    4.5    5.8    7.5    7.6   11.3   15.1   15.0   14.5   12.7    9.8    6.2    2.0    5.48   8.80  14.86   9.56    9.35
1951    4.5    4.0    4.5    6.7    9.5   13.4   15.6   14.1   13.7   10.0    8.3    6.2    3.46   6.92  14.37  10.65    9.23
1952    3.5    3.7    6.7    8.7   12.4   13.4   16.0   15.4   11.0    9.4    4.9    4.1    4.50   9.29  14.92   8.44    9.13
1953    3.4    4.0    5.6    7.4   12.0   13.6   14.9   15.5   13.4    9.9    8.5    7.6    3.86   8.34  14.67  10.60    9.69
1954    3.4    3.3    6.1    7.4   10.7   12.7   13.4   13.9   12.6   11.7    7.4    6.9    4.84   8.03  13.35  10.60    9.17
1955    3.6    1.7    3.2    8.7    9.5   13.4   17.0   17.6   13.9    9.4    6.8    6.7    4.15   7.10  16.05  10.03    9.34
1956    4.5   -0.2    6.3    6.9   11.1   12.9   15.1   13.4   13.9    9.7    6.5    6.2    3.74   8.10  13.78  10.01    8.88
1957    5.4    5.6    9.2    8.8   10.4   14.6   15.8   15.1   12.7   10.9    6.1    4.8    5.75   9.48  15.18   9.91    9.98
1958    4.1    5.8    4.0    7.0   10.6   13.0   15.0   15.0   14.5   10.8    6.8    5.0    4.87   7.19  14.35  10.71    9.32
1959    3.1    4.7    7.2    8.9   12.1   14.2   16.1   16.3   14.8   12.4    7.5    6.3    4.28   9.38  15.54  11.58   10.33
1960    4.5    4.1    6.6    8.4   12.2   15.1   14.5   14.4   12.8   10.0    7.4    4.0    4.97   9.09  14.66  10.08    9.52
1961    4.1    7.0    7.5    9.7   10.7   13.5   14.8   15.0   14.6   10.6    6.5    3.5    4.99   9.31  14.45  10.55    9.80
1962    4.8    4.3    2.8    7.4    9.5   12.9   14.4   13.9   12.3   10.4    5.6    3.3    4.20   6.56  13.75   9.45    8.49
1963   -2.4   -0.3    5.8    8.0    9.9   14.1   14.4   13.9   12.8   10.9    8.4    2.9    0.22   7.93  14.15  10.67    8.25
1964    3.8    4.3    4.6    7.9   12.1   13.3   15.2   14.9   14.0    9.0    7.9    3.9    3.66   8.18  14.49  10.26    9.25
1965    3.7    2.8    5.3    7.8   10.7   13.3   13.7   14.6   11.5   11.1    5.1    5.5    3.48   7.95  13.85   9.29    8.80
1966    3.4    6.1    6.4    7.5   10.6   14.4   14.6   14.4   13.8   10.2    5.4    6.2    4.99   8.17  14.45   9.78    9.43
1967    4.6    5.2    6.5    7.8    9.8   13.7   15.5   14.9   13.2   10.4    5.8    4.9    5.35   8.04  14.71   9.81    9.39
1968    4.9    2.1    5.9    7.1    9.4   14.0   14.6   15.3   13.4   12.4    6.9    3.9    4.00   7.47  14.65  10.90    9.19
1969    5.8    1.4    4.1    7.6   10.4   13.4   15.6   15.4   13.5   12.6    5.8    3.8    3.79   7.37  14.81  10.64    9.16
1970    4.6    3.4    3.9    6.4   11.8   15.3   14.4   15.2   14.0   10.4    8.3    4.2    3.93   7.37  14.96  10.88    9.35
1971    5.0    4.5    4.9    7.5   11.0   12.1   16.5   15.3   14.5   11.6    6.3    6.5    4.59   7.78  14.68  10.78    9.67
1972    4.1    4.6    6.6    8.0    9.5   10.6   14.9   14.5   11.6   10.4    6.4    6.3    5.05   8.05  13.38   9.48    8.99
1973    4.8    4.5    5.9    6.9   10.7   14.0   14.8   16.3   14.0    9.5    7.2    5.4    5.23   7.86  15.04  10.21    9.53
1974    6.2    5.4    5.5    8.1   10.0   13.2   14.3   14.3   11.4    7.8    7.0    7.7    5.69   7.88  13.92   8.72    9.26
1975    6.7    5.3    4.8    7.8   10.0   14.4   16.6   17.2   12.7   10.1    6.8    5.1    6.58   7.58  16.09   9.87    9.82
1976    5.6    4.2    4.7    7.6   11.0   15.8   17.2   17.2   12.7   10.0    6.5    2.7    4.98   7.76  16.74   9.75    9.62
1977    3.2    5.7    6.9    6.8   10.2   11.8   15.5   14.8   12.5   11.6    6.3    6.4    3.79   7.98  14.09  10.17    9.35
1978    3.9    2.9    6.2    6.2   11.2   12.9   14.0   14.4   13.3   11.8    8.5    5.0    4.44   7.88  13.78  11.22    9.23
1979    0.8    1.6    4.4    7.3    8.7   12.9   15.3   14.1   12.7   11.2    7.1    6.0    2.48   6.82  14.13  10.33    8.56
1980    2.5    6.2    4.8    8.4   10.7   12.9   13.8   15.1   14.1    8.9    6.2    5.7    4.87   7.96  13.96   9.72    9.11
1981    5.1    3.2    7.8    7.8   10.4   12.7   14.9   15.9   13.9    8.3    7.8    2.2    4.72   8.64  14.53   9.98    9.19
1982    3.8    5.2    5.9    8.3   10.8   14.7   15.8   15.0   13.9   10.0    8.0    4.8    3.69   8.36  15.18  10.64    9.72
1983    6.5    2.2    6.3    6.5    9.7   13.9   19.0   17.1   13.4   10.2    7.6    6.3    4.59   7.48  16.65  10.42    9.93
1984    4.3    4.0    4.6    8.3    9.8   14.2   16.1   16.9   13.4   10.9    7.6    5.7    4.88   7.53  15.73  10.62    9.65
1985    1.1    3.1    4.7    8.1   10.6   12.4   15.3   13.9   14.0   10.5    4.6    6.7    3.32   7.78  13.89   9.72    8.79
1986    4.2   -0.9    5.0    5.3   10.1   14.2   14.9   13.0   10.9   10.8    7.7    6.4    3.47   6.81  14.00   9.80    8.52
1987    1.3    3.9    4.5    9.5   10.0   12.3   15.4   15.3   13.5    9.7    6.8    5.8    3.86   7.99  14.37   9.98    9.03
1988    5.8    4.7    6.5    7.9   11.3   14.3   13.8   14.3   12.9   10.5    6.2    7.7    5.46   8.56  14.10   9.88    9.67
1989    6.3    6.0    7.3    6.3   13.1   14.0   17.8   16.0   14.0   11.6    7.2    5.4    6.68   8.89  15.95  10.96   10.44
1990    6.8    7.3    7.9    7.8   12.6   12.9   16.4   17.1   12.9   11.6    6.9    4.4    6.48   9.43  15.51  10.48   10.42
1991    3.6    1.7    7.5    7.5   10.8   11.7   15.9   16.0   14.5    9.7    6.8    5.3    3.28   8.62  14.57  10.34    9.31
1992    3.8    5.4    7.1    8.1   12.8   14.9   15.8   14.6   12.9    7.8    7.9    4.4    4.84   9.38  15.11   9.47    9.63
1993    6.3    5.0    6.4    9.2   10.9   14.3   14.6   14.1   12.2    8.0    5.4    5.9    5.25   8.83  14.36   8.51    9.39
1994    5.5    4.0    7.4    7.5   10.3   13.3   16.4   15.2   12.4   10.4   10.2    7.0    5.17   8.40  15.00  11.00   10.01
1995    5.3    6.6    5.4    8.4   10.9   13.9   17.4   18.7   13.2   12.8    7.8    3.1    6.32   8.27  16.70  11.29   10.34
1996    4.8    2.9    4.8    8.0    8.7   13.4   15.6   15.4   13.2   11.3    6.3    3.0    3.63   7.15  14.82  10.29    8.97
1997    2.4    6.3    7.8    8.7   11.2   13.4   15.6   17.6   13.8   10.8    8.7    6.1    3.85   9.26  15.58  11.10   10.24
1998    5.3    6.9    7.8    7.3   12.9   13.6   14.7   15.2   14.3   10.6    6.8    5.9    6.06   9.35  14.52  10.55   10.12
1999    5.9    5.4    6.9    9.0   12.4   13.1   16.8   15.9   14.7   10.5    7.7    5.5    5.74   9.45  15.26  10.98   10.35
2000    4.8    6.3    7.1    7.4   11.6   14.1   15.3   16.0   14.3   10.0    7.0    6.1    5.50   8.74  15.12  10.43   10.01
2001    4.1    4.9    5.6    7.5   11.9   13.7   15.9   16.0   13.4   13.0    7.6    4.1    5.04   8.35  15.20  11.36    9.84
2002    6.3    6.9    7.5    8.7   11.1   13.1   15.0   15.8   13.9   10.5    9.2    6.0    5.72   9.12  14.66  11.18   10.35
2003    4.6    4.5    7.8    9.5   11.1   14.8   16.4   17.6   14.0    9.2    8.4    5.7    5.04   9.46  16.29  10.50   10.32
2004    5.6    5.1    6.3    8.9   11.7   14.9   15.0   16.6   14.5   10.4    8.2    6.2    5.48   8.97  15.50  11.01   10.29
2005    6.3    4.2    7.0    8.7   10.8   14.9   16.4   15.6   14.7   12.7    6.5    5.0    5.62   8.84  15.62  11.33   10.28
2006    4.5    3.6    5.2    8.5   11.5   15.3   18.4   15.9   16.0   12.7    8.2    6.7    4.36   8.42  16.53  12.31   10.58
2007    7.0    6.4    7.1   11.2   11.8   14.7   14.6   15.1   13.7   11.1    7.8    5.7    6.75  10.02  14.83  10.88   10.55
2008    6.7    5.9    6.3    7.8   13.2   13.6   15.5   15.4   13.1    9.9    7.5    4.0    6.10   9.14  14.84  10.15    9.93
2009    3.4    4.3    6.8    9.1   11.4   14.7   15.5   15.7   13.7   11.7    8.8    3.7    3.91   9.08  15.29  11.39    9.92
2010    1.8    3.5    5.7    8.6   10.7   14.8   16.2   15.0   13.6   10.4    5.7    0.3    2.97   8.32  15.35   9.91    8.88
2011    3.9    6.7    6.8   11.5   11.6   13.3   14.9   14.8   14.6   12.4    9.9    6.7    3.53   9.97  14.34  12.31   10.60
2012    6.1    4.4    8.3    7.2   11.6   13.4   14.8   16.1   12.8   10.0    6.8    5.7    5.78   9.05  14.77   9.86    9.80
2013    4.6    3.6    3.3    6.9    9.8   13.5   17.8   16.3   13.9   12.6    6.8    6.6    4.66   6.69  15.87  11.11    9.68
2014    6.0    6.0    7.4    9.6   11.8   15.0   17.1   14.7   15.0   12.4    8.5    5.7    6.20   9.60  15.59  11.98   10.79
2015    5.3    4.1    6.3    9.2   10.7   13.7   15.2   15.0   12.6   10.9    9.9   10.0    5.06   8.72  14.65  11.11   10.27
2016    6.1    5.2    5.8    7.5   12.2   14.8   16.0   16.3   15.2   10.6    6.5    6.7    7.15   8.53  15.71  10.75   10.26
2017    4.9    6.3                                                                          5.96
