England_and_Wales Mean Temperature (Degrees C)
Areal series, starting from 1910
Allowances have been made for topographic, coastal and urban effects where relationships are found to exist.
Seasons: Winter=Dec-Feb, Spring=Mar-May, Summer=June-Aug, Autumn=Sept-Nov. (Winter: Year refers to Jan/Feb).
Monthly values are ranked and displayed to 1 dp and seasonal/annual values to 2 dp. Where values are equal, rankings are based in order of year descending.
Data are provisional from February 2016 and Winter 2016.  Last updated 02/03/2017.

Year    JAN    FEB    MAR    APR    MAY    JUN    JUL    AUG    SEP    OCT    NOV    DEC     WIN    SPR    SUM    AUT     ANN
1910    3.3    4.7    5.7    6.9   10.8   14.2   13.9   14.8   12.4   10.6    3.3    6.0     ---   7.81  14.32   8.79    8.91
1911    3.4    4.4    4.8    7.1   12.4   14.1   17.6   17.9   13.8    9.3    5.7    5.8    4.61   8.13  16.53   9.61    9.73
1912    3.3    4.9    6.8    8.4   11.5   13.4   15.6   12.5   10.9    8.1    5.9    6.3    4.68   8.91  13.83   8.29    8.98
1913    4.0    4.4    5.7    7.5   11.1   13.6   14.3   15.0   13.7   10.7    7.9    4.6    4.92   8.09  14.28  10.78    9.40
1914    3.0    6.2    5.7    9.2   10.2   13.9   15.5   15.7   13.0   10.0    6.3    4.3    4.54   8.37  15.03   9.78    9.43
1915    3.6    3.7    4.7    7.3   10.4   13.6   14.2   14.9   13.0    8.8    2.9    5.0    3.86   7.46  14.23   8.23    8.53
1916    6.9    3.3    3.0    7.7   11.0   11.2   14.7   15.9   12.6   10.3    6.3    1.9    5.09   7.23  13.95   9.74    8.75
1917    1.2    0.7    2.8    4.9   12.0   14.4   15.5   15.0   13.6    7.4    7.5    2.0    1.28   6.58  14.98   9.48    8.13
1918    3.3    5.9    5.4    6.4   12.2   12.6   15.0   15.6   11.7    8.9    5.3    6.5    3.69   8.02  14.41   8.63    9.09
1919    2.6    1.5    3.3    6.6   12.4   13.5   13.5   15.4   12.5    7.3    2.9    5.0    3.59   7.45  14.18   7.56    8.09
1920    4.6    5.5    6.6    7.7   11.2   13.7   13.7   13.2   12.6   10.3    6.5    3.9    5.00   8.54  13.56   9.76    9.14
1921    6.7    4.4    6.7    7.8   10.9   14.0   17.6   15.0   13.9   12.6    4.6    6.1    5.01   8.50  15.55  10.37   10.06
1922    3.3    4.1    4.3    5.2   12.1   13.3   13.2   13.0   11.8    8.1    5.4    5.3    4.51   7.24  13.16   8.41    8.28
1923    5.0    5.2    6.1    7.1    8.9   12.0   16.9   14.7   12.0    9.4    3.1    3.4    5.14   7.39  14.57   8.17    8.68
1924    4.1    2.8    3.8    6.6   10.9   13.4   14.7   13.7   12.9    9.9    6.6    6.3    3.44   7.10  13.95   9.82    8.84
1925    4.9    4.7    4.5    7.0   11.0   14.3   16.3   15.1   11.1   10.2    3.5    2.6    5.31   7.51  15.24   8.31    8.80
1926    4.1    6.3    6.0    8.7    9.6   12.9   16.3   15.8   14.2    7.8    5.7    3.9    4.25   8.08  15.05   9.22    9.29
1927    4.2    3.8    6.8    7.6   10.6   12.0   15.1   15.2   12.1   10.1    5.7    1.8    3.96   8.31  14.10   9.32    8.77
1928    4.7    5.4    5.6    7.7   10.2   12.4   15.7   14.9   12.4    9.9    7.4    3.2    3.93   7.82  14.36   9.88    9.13
1929    1.3    0.0    5.9    6.1   10.6   12.6   15.5   14.8   15.2    9.3    6.3    5.3    1.55   7.57  14.32  10.24    8.63
1930    5.1    2.3    4.8    7.7   10.2   14.6   14.7   15.3   13.2   10.1    6.0    4.0    4.32   7.57  14.88   9.79    9.05
1931    3.0    3.5    3.6    7.2   10.6   13.7   14.8   13.9   11.3    8.6    7.3    5.0    3.50   7.15  14.15   9.07    8.57
1932    5.7    2.9    4.3    6.3    9.7   13.4   15.5   16.7   12.8    8.4    6.3    5.2    4.56   6.77  15.22   9.17    8.96
1933    2.1    3.7    6.9    8.4   11.4   14.7   17.1   17.1   14.6    9.8    5.4    1.3    3.66   8.88  16.29   9.94    9.39
1934    3.9    3.4    4.5    7.4   10.8   14.4   17.4   14.7   14.0   10.1    5.8    7.5    2.85   7.55  15.50   9.95    9.52
1935    4.2    5.3    6.0    7.6    9.5   14.3   16.7   16.1   13.2    9.2    6.3    2.7    5.69   7.71  15.73   9.54    9.28
1936    3.4    2.2    6.4    5.9   10.8   14.0   14.7   15.5   14.0    9.0    5.4    4.9    2.79   7.73  14.76   9.45    8.88
1937    4.7    5.1    3.1    8.5   11.5   13.5   15.5   16.3   12.9   10.0    5.1    2.7    4.88   7.69  15.11   9.34    9.09
1938    5.3    4.6    8.5    7.1   10.0   13.8   14.5   15.4   13.3   10.0    8.7    3.8    4.18   8.57  14.55  10.62    9.61
1939    3.9    5.1    5.5    8.1   10.7   13.6   14.8   15.9   13.8    8.0    8.1    2.9    4.25   8.09  14.77   9.97    9.22
1940   -1.3    2.2    5.6    8.0   11.9   15.7   14.5   15.1   12.4    9.3    6.5    3.6    1.24   8.49  15.09   9.39    8.62
