Midlands Mean Temperature (Degrees C)
Areal series, starting from 1910
Allowances have been made for topographic, coastal and urban effects where relationships are found to exist.
Seasons: Winter=Dec-Feb, Spring=Mar-May, Summer=June-Aug, Autumn=Sept-Nov. (Winter: Year refers to Jan/Feb).
Monthly values are ranked and displayed to 1 dp and seasonal/annual values to 2 dp. Where values are equal, rankings are based in order of year descending.
Data are provisional from February 2016 and Winter 2016.  Last updated 02/03/2017.

Year    JAN    FEB    MAR    APR    MAY    JUN    JUL    AUG    SEP    OCT    NOV    DEC     WIN    SPR    SUM    AUT     ANN
1910    2.9    4.5    5.5    6.9   10.8   14.5   14.0   14.8   12.3   10.3    2.7    5.8     ---   7.75  14.41   8.44    8.78
1911    3.3    4.3    4.6    7.3   12.6   14.2   17.8   18.0   13.7    8.9    5.4    5.6    4.45   8.18  16.69   9.33    9.67
1912    2.7    4.6    6.7    8.4   11.6   13.4   15.6   12.4   10.7    7.7    5.7    6.1    4.31   8.87  13.81   8.03    8.82
1913    3.5    4.1    5.5    7.5   11.1   13.8   14.3   14.9   13.7   10.4    7.6    4.4    4.61   8.04  14.36  10.54    9.26
1914    2.9    6.1    5.6    9.2   10.1   14.0   15.6   15.6   12.7    9.9    6.1    3.9    4.42   8.28  15.08   9.56    9.32
1915    3.4    3.6    4.7    7.2   10.3   13.8   14.0   14.8   12.8    8.4    2.5    4.6    3.63   7.38  14.21   7.91    8.37
1916    6.9    3.0    2.7    7.7   11.0   11.2   14.8   16.0   12.4   10.1    5.9    1.2    4.87   7.13  14.03   9.50    8.60
1917    0.9    0.3    2.5    4.9   12.2   14.4   15.5   15.0   13.6    7.1    7.5    1.7    0.84   6.55  15.01   9.35    8.01
1918    3.2    5.9    5.4    6.3   12.4   12.6   15.1   15.7   11.5    8.7    4.7    6.3    3.52   8.05  14.49   8.32    9.02
1919    2.1    0.8    2.9    6.6   12.7   13.7   13.5   15.4   12.2    6.9    2.6    4.8    3.16   7.42  14.23   7.22    7.91
1920    4.5    5.2    6.6    7.6   11.2   13.7   13.6   13.1   12.3    9.8    6.1    3.7    4.84   8.51  13.46   9.39    8.97
1921    6.6    4.1    6.8    7.7   10.9   14.0   18.0   15.0   13.7   12.3    3.9    5.8    4.83   8.45  15.67   9.99    9.94
1922    2.9    3.7    4.0    5.0   12.4   13.2   13.1   12.8   11.6    7.7    5.1    5.1    4.14   7.15  13.03   8.16    8.08
1923    5.0    4.8    5.9    7.0    8.8   12.0   17.1   14.6   11.9    9.1    2.6    3.0    4.96   7.23  14.58   7.86    8.51
1924    3.8    2.6    3.4    6.6   11.0   13.4   14.8   13.5   12.9    9.5    6.4    6.1    3.15   7.00  13.92   9.59    8.69
1925    4.5    4.5    4.4    6.9   11.2   14.4   16.5   15.2   11.0   10.0    3.1    2.1    5.09   7.50  15.38   8.02    8.68
1926    3.7    6.1    5.9    8.6    9.5   13.0   16.4   15.8   13.9    7.5    5.2    3.7    3.92   7.98  15.09   8.86    9.12
1927    4.0    3.5    6.7    7.6   10.5   11.9   15.0   15.1   12.0    9.9    5.5    1.1    3.71   8.25  14.02   9.12    8.58
1928    4.5    5.1    5.5    7.6   10.0   12.3   15.9   14.9   12.2    9.5    7.1    2.7    3.55   7.73  14.37   9.58    8.96
1929    1.0   -0.6    5.8    6.1   10.7   12.6   15.6   14.8   15.0    9.0    6.0    5.0    1.09   7.55  14.33   9.99    8.47
1930    4.9    2.0    4.6    7.7   10.1   14.7   14.6   15.3   13.1    9.9    5.6    3.7    4.05   7.46  14.88   9.55    8.89
1931    2.7    3.3    3.4    7.2   10.6   13.9   14.9   13.7   11.3    8.2    7.1    4.7    3.22   7.05  14.19   8.83    8.44
1932    5.6    2.7    4.1    6.1    9.7   13.3   15.6   16.8   12.5    8.2    6.0    4.9    4.35   6.64  15.26   8.91    8.82
1933    1.7    3.6    6.8    8.4   11.6   14.8   17.4   17.1   14.6    9.5    5.2    1.1    3.41   8.92  16.47   9.75    9.34
1934    3.7    3.3    4.3    7.4   10.9   14.5   17.7   14.7   13.9    9.9    5.6    7.3    2.66   7.52  15.66   9.83    9.47
1935    4.1    5.3    6.0    7.6    9.3   14.6   16.9   16.4   13.0    8.9    6.1    2.3    5.57   7.65  15.96   9.36    9.24
1936    2.8    1.6    6.3    5.8   10.6   13.9   14.6   15.6   13.9    8.9    4.9    4.6    2.25   7.60  14.72   9.23    8.66
1937    4.4    4.8    2.7    8.5   11.4   13.5   15.5   16.3   12.7    9.7    4.6    2.3    4.61   7.54  15.11   9.01    8.89
1938    5.2    4.5    8.6    7.0   10.1   13.8   14.5   15.4   13.0    9.7    8.5    3.6    3.98   8.61  14.59  10.43    9.54
1939    3.5    4.9    5.3    8.0   10.7   13.4   14.8   15.9   13.6    7.5    7.9    2.7    3.97   7.99  14.70   9.64    9.03
1940   -2.1    1.5    5.5    7.9   12.0   15.9   14.5   15.1   12.2    9.1    6.1    3.3    0.66   8.48  15.14   9.13    8.43
1941   -0.3    2.8    4.4    6.0    8.6   14.5   17.0   14.2   13.9    9.8    5.8    4.9    1.91   6.32  15.23   9.86    8.50
1942    0.2   -0.5    4.4    8.5   10.5   14.0   14.9   15.9   13.1   10.0    4.7    6.2    1.63   7.79  14.96   9.26    8.55
1943    4.2    5.4    6.1   10.2   11.4   13.9   15.8   15.4   12.6   10.0    5.6    3.0    5.26   9.21  15.05   9.42    9.50
1944    5.4    2.9    4.8    9.5   10.8   12.8   15.8   16.4   11.9    8.7    5.7    3.0    3.77   8.34  15.06   8.79    9.00
1945   -0.1    6.6    7.5    9.6   11.6   13.9   16.1   15.3   13.6   11.2    6.6    4.4    3.06   9.55  15.13  10.47    9.71
1946    2.4    5.5    4.7    9.4    9.7   12.5   15.9   14.0   13.4    9.2    7.6    2.5    4.06   7.92  14.13  10.06    8.90
1947    1.4   -2.6    2.9    8.0   12.7   15.0   16.5   18.0   14.4   10.2    6.5    4.7    0.50   7.87  16.50  10.36    9.04
1948    4.8    4.1    7.7    8.4   10.6   12.9   15.2   14.4   13.4    9.5    6.6    5.0    4.53   8.93  14.19   9.83    9.41
1949    4.8    5.0    4.3    9.5   10.5   14.5   16.9   16.4   15.8   11.1    5.9    5.1    4.94   8.11  15.95  10.94   10.03
1950    3.6    4.8    6.9    7.0   10.4   15.6   15.4   15.1   12.4    9.2    5.1    0.6    4.51   8.10  15.38   8.88    8.86
1951    3.2    3.1    3.5    6.4    9.2   13.2   15.8   14.3   13.6    8.9    7.7    4.8    2.26   6.37  14.44  10.07    8.67
1952    2.2    2.8    6.1    9.0   12.7   13.8   16.2   15.5   10.4    8.4    3.6    2.5    3.29   9.29  15.18   7.46    8.63
1953    2.9    3.8    5.1    6.7   12.2   13.6   15.0   15.6   13.4    9.0    7.8    6.3    3.03   8.02  14.75  10.05    9.32
1954    2.3    2.0    5.2    7.0   10.7   12.8   13.7   14.0   12.3   11.5    6.2    6.0    3.58   7.64  13.51  10.00    8.68
1955    1.9    0.6    2.6    9.0    9.0   13.1   17.0   17.5   13.8    8.9    6.4    5.0    2.92   6.83  15.92   9.67    8.77
1956    3.0   -0.8    5.5    6.1   11.2   12.5   15.3   13.0   13.7    8.9    5.5    5.0    2.47   7.63  13.64   9.34    8.28
1957    4.9    4.5    8.6    8.1    9.8   14.6   15.9   14.9   12.0   10.2    5.7    3.7    4.81   8.83  15.13   9.33    9.44
1958    2.8    4.2    3.1    6.9   10.8   13.3   15.4   15.4   14.4   10.2    5.8    4.0    3.58   6.92  14.70  10.15    8.88
1959    1.0    3.8    6.6    8.9   12.0   14.6   16.9   16.9   14.4   11.9    6.2    5.2    2.90   9.18  16.15  10.84    9.91
1960    3.4    3.4    5.6    8.5   12.2   15.6   14.7   14.4   12.5    9.6    6.6    3.4    4.00   8.76  14.91   9.54    9.16
1961    2.9    6.4    7.7    9.3   10.3   14.0   14.6   15.0   14.6   10.1    5.5    1.6    4.14   9.12  14.53  10.09    9.34
1962    3.7    3.8    2.1    7.1    9.6   13.1   14.3   13.9   12.2    9.8    4.8    1.2    2.99   6.25  13.78   8.92    7.98
1963   -2.7   -1.6    5.3    8.0    9.9   14.3   14.6   13.7   12.5   10.3    7.3    2.0   -1.02   7.74  14.18  10.02    7.84
1964    2.6    3.8    3.5    8.2   12.7   13.2   15.5   15.0   13.6    8.1    6.9    2.6    2.78   8.13  14.59   9.50    8.82
1965    2.8    2.7    4.6    7.6   11.0   13.9   13.4   14.4   11.8   10.3    3.8    3.9    2.71   7.74  13.92   8.66    8.40
1966    2.1    5.0    6.0    6.5   10.6   14.8   14.4   14.3   13.3    9.6    4.8    4.8    3.64   7.69  14.49   9.23    8.86
1967    3.8    4.8    6.6    7.3    9.7   13.7   16.4   15.3   13.1   10.2    4.7    3.5    4.43   7.87  15.15   9.35    9.12
1968    3.8    1.3    5.9    7.5    9.3   14.4   14.5   15.0   13.3   12.0    5.8    2.4    2.89   7.60  14.63  10.38    8.79
1969    4.9    0.1    2.7    7.0   10.7   13.3   16.4   15.8   13.2   12.2    4.7    2.8    2.53   6.78  15.20  10.08    8.71
1970    3.1    2.4    3.1    6.2   12.5   15.7   14.8   15.5   14.0   10.0    7.1    3.6    2.77   7.27  15.33  10.37    9.04
1971    3.9    4.0    4.6    7.1   10.9   11.8   16.6   15.2   13.7   10.7    5.5    5.9    3.82   7.57  14.55   9.99    9.20
1972    3.2    3.6    6.0    7.8   10.0   11.3   15.0   14.6   11.1    9.9    5.9    4.9    4.28   7.92  13.67   8.97    8.64
1973    4.0    3.9    5.7    6.5   10.9   14.5   15.2   16.1   13.8    8.5    5.5    4.4    4.27   7.74  15.28   9.27    9.12
1974    5.2    4.9    5.0    7.3   10.4   13.1   14.6   14.6   11.5    7.1    6.0    7.3    4.85   7.55  14.12   8.19    8.94
1975    6.1    3.8    4.2    7.9    9.2   14.1   16.9   18.2   12.7    9.3    5.5    4.6    5.81   7.10  16.40   9.18    9.41
1976    5.1    3.9    4.1    7.4   11.4   16.5   17.8   16.8   12.7    9.9    5.4    1.3    4.54   7.66  17.05   9.32    9.38
1977    2.0    4.4    6.3    6.6    9.8   11.7   15.3   14.8   12.6   10.9    5.7    5.4    2.51   7.59  13.94   9.78    8.83
