Northern_Ireland Mean Temperature (Degrees C)
Areal series, starting from 1910
Allowances have been made for topographic, coastal and urban effects where relationships are found to exist.
Seasons: Winter=Dec-Feb, Spring=Mar-May, Summer=June-Aug, Autumn=Sept-Nov. (Winter: Year refers to Jan/Feb).
Monthly values are ranked and displayed to 1 dp and seasonal/annual values to 2 dp. Where values are equal, rankings are based in order of year descending.
Data are provisional from February 2016 and Winter 2016.  Last updated 02/03/2017.

Year    JAN    FEB    MAR    APR    MAY    JUN    JUL    AUG    SEP    OCT    NOV    DEC     WIN    SPR    SUM    AUT     ANN
1910    3.3    3.9    5.4    5.8    9.5   12.6   12.9   13.5   11.7   10.0    3.6    5.4     ---   6.92  13.00   8.43    8.16
1911    4.2    4.4    4.6    6.8   11.0   12.2   14.8   15.0   11.8    8.6    5.1    4.7    4.66   7.48  14.01   8.53    8.63
1912    3.8    4.2    5.9    8.1   10.0   12.0   12.6   10.8   10.4    7.8    6.0    5.5    4.24   8.01  11.79   8.09    8.11
1913    4.1    4.9    4.6    6.7    9.4   11.6   12.7   13.6   12.4   10.1    7.2    4.6    4.80   6.90  12.66   9.88    8.50
1914    3.9    5.2    4.5    8.4    9.3   12.6   13.9   14.3   11.9    9.7    5.9    2.8    4.54   7.40  13.61   9.18    8.55
1915    3.0    2.8    4.9    7.4    8.9   12.5   13.0   13.3   12.3    8.5    3.9    3.8    2.86   7.03  12.91   8.24    7.87
1916    6.2    2.9    2.9    6.7    9.2   10.5   13.7   15.0   12.5    9.5    6.3    2.7    4.33   6.27  13.07   9.43    8.19
1917    2.2    2.9    3.7    4.5   10.1   12.2   14.5   14.1   12.5    6.6    7.2    3.0    2.59   6.13  13.60   8.74    7.82
1918    3.4    5.9    5.4    6.2   10.7   12.2   13.4   14.2    9.5    7.8    5.7    6.0    4.06   7.44  13.29   7.66    8.39
1919    3.1    2.6    2.8    6.9   11.3   11.8   12.7   13.7   11.0    8.2    3.0    4.3    3.96   6.98  12.76   7.40    7.66
1920    4.0    5.3    5.2    6.2    9.7   12.4   12.3   12.2   11.8   10.0    7.5    3.6    4.51   7.02  12.31   9.76    8.35
1921    6.0    5.2    5.6    7.2    9.4   13.0   15.7   12.8   12.3   11.2    6.7    6.7    4.91   7.40  13.86  10.11    9.35
1922    4.2    4.9    4.6    4.2   10.9   11.6   11.8   11.9   10.8    8.3    6.6    5.1    5.26   6.56  11.76   8.55    7.91
1923    5.5    5.4    6.1    6.4    7.7   11.5   14.8   12.9   10.8    8.5    3.2    4.3    5.33   6.75  13.10   7.54    8.13
1924    4.8    4.1    3.9    5.8    9.4   12.2   13.3   12.9   11.1    8.7    7.3    6.1    4.42   6.37  12.80   9.03    8.32
1925    5.2    3.7    5.0    6.0    9.1   12.8   14.3   13.9   10.6    9.7    4.8    3.5    5.04   6.70  13.68   8.38    8.24
1926    4.8    5.8    5.8    8.4    8.9   12.1   14.9   14.4   12.6    7.4    5.2    4.3    4.65   7.69  13.82   8.43    8.74
1927    4.3    4.8    6.3    6.8    9.5   10.0   13.8   14.0   10.9    9.8    5.8    3.5    4.46   7.55  12.61   8.85    8.31
1928    4.5    5.4    5.0    6.8    9.8   10.9   13.7   12.9   11.1    9.3    6.6    4.4    4.43   7.21  12.52   9.02    8.38
1929    2.9    3.3    6.5    6.3    9.8   11.7   13.9   13.3   13.5    8.4    5.9    4.3    3.54   7.52  13.01   9.24    8.35
1930    3.6    2.0    4.5    7.2    9.8   12.8   13.5   13.3   11.9    9.0    5.3    4.3    3.38   7.18  13.19   8.77    8.15
1931    3.3    3.6    4.3    6.9    9.8   12.4   13.5   12.9   10.7    8.4    6.7    6.2    3.76   7.01  12.93   8.62    8.26
1932    6.2    4.0    5.0    5.8    9.5   13.1   14.2   14.0   11.0    7.9    6.1    5.5    5.53   6.74  13.79   8.33    8.54
1933    2.8    3.7    6.4    8.3    9.8   13.2   15.5   14.9   12.9    9.3    5.5    4.0    4.02   8.19  14.53   9.23    8.89
1934    5.0    4.7    4.3    5.9    9.6   13.2   15.7   13.1   12.0    8.6    5.9    7.2    4.57   6.63  13.99   8.85    8.80
