Scotland_E Mean Temperature (Degrees C)
Areal series, starting from 1910
Allowances have been made for topographic, coastal and urban effects where relationships are found to exist.
Seasons: Winter=Dec-Feb, Spring=Mar-May, Summer=June-Aug, Autumn=Sept-Nov. (Winter: Year refers to Jan/Feb).
Monthly values are ranked and displayed to 1 dp and seasonal/annual values to 2 dp. Where values are equal, rankings are based in order of year descending.
Data are provisional from February 2016 and Winter 2016.  Last updated 02/03/2017.

Year    JAN    FEB    MAR    APR    MAY    JUN    JUL    AUG    SEP    OCT    NOV    DEC     WIN    SPR    SUM    AUT     ANN
1910    0.7    1.9    4.4    4.2    8.5   11.4   11.8   12.6   10.6    8.4    1.1    4.1     ---   5.73  11.91   6.71    6.67
1911    2.8    2.6    2.8    5.7   10.5   11.8   14.4   14.1   10.6    6.3    3.4    3.5    3.21   6.34  13.46   6.75    7.41
1912    1.6    2.3    4.5    6.8    8.8   10.8   12.8   10.2    9.0    6.7    4.0    3.3    2.50   6.71  11.27   6.56    6.75
1913    1.6    3.1    3.0    5.4    8.4   11.7   12.9   13.0   10.8    8.5    5.7    2.5    2.63   5.62  12.54   8.36    7.24
1914    2.1    4.1    2.9    7.4    8.3   12.1   13.3   13.1   10.7    7.9    4.4    1.3    2.83   6.17  12.83   7.67    7.30
1915    1.4    1.6    3.0    5.7    7.0   11.2   12.1   12.8   10.5    6.6    1.1    1.3    1.46   5.21  12.01   6.08    6.21
1916    4.8    1.3    0.8    5.6    7.9    9.5   12.7   13.0   10.4    7.1    5.2    1.2    2.50   4.77  11.77   7.57    6.66
1917    0.4    0.5    1.1    3.1    8.4   11.2   13.1   13.2   11.0    4.8    5.6    1.1    0.73   4.20  12.52   7.11    6.15
1918    0.5    4.3    3.5    4.5    9.8   10.8   12.6   13.1    7.9    7.2    3.0    3.1    1.88   5.94  12.18   6.07    6.71
1919    1.2   -0.4    0.6    5.3    9.7   11.3   11.9   12.6   10.1    6.6    0.5    2.0    1.32   5.21  11.92   5.72    5.98
1920    1.9    3.8    4.3    5.1    8.7   11.2   11.4   11.4   10.1    7.9    5.8    1.8    2.53   6.05  11.33   7.92    6.95
1921    3.6    3.3    4.2    6.0    8.6   11.5   13.9   11.6   11.0    9.8    2.7    4.5    2.89   6.25  12.35   7.87    7.59
1922    1.0    2.0    3.0    3.1    8.9   10.5   10.9   10.8    9.2    6.3    4.4    3.3    2.52   5.01  10.74   6.64    6.15
1923    4.2    2.6    4.2    4.4    6.2   10.3   13.7   11.8    9.5    7.0    1.6    1.4    3.39   4.93  11.94   6.05    6.44
1924    2.3    2.4    1.2    4.7    7.3   10.6   12.4   11.6    9.9    7.2    5.2    5.1    2.04   4.40  11.57   7.45    6.69
1925    3.2    2.2    3.0    4.6    8.6   12.1   13.9   12.8    8.8    7.9    1.6    0.0    3.53   5.42  12.94   6.13    6.59
1926    2.6    3.3    4.3    6.6    7.2   11.0   14.0   13.2   10.8    4.9    3.3    3.1    1.94   6.02  12.74   6.33    7.05
1927    2.3    2.6    4.6    4.9    6.9    8.9   13.3   12.8    9.2    7.6    3.8    0.0    2.70   5.51  11.71   6.89    6.46
1928    2.6    3.0    2.9    5.5    7.7    9.1   12.5   12.1    9.6    7.0    5.1    1.8    1.85   5.38  11.25   7.20    6.58
1929   -0.1   -0.7    4.8    4.0    8.5   10.5   12.7   12.0   11.7    6.6    4.1    3.1    0.37   5.80  11.72   7.44    6.47
1930    2.3   -0.2    2.2    5.7    7.8   12.1   12.7   12.9   10.7    7.5    3.0    2.6    1.80   5.20  12.58   7.06    6.64
1931    1.1    1.3    1.1    5.1    8.6   10.2   12.8   11.2    9.4    6.9    5.5    4.1    1.69   4.92  11.43   7.26    6.48
1932    4.4    3.0    3.2    4.0    7.6   11.1   13.1   13.1   10.0    5.7    3.9    3.9    3.88   4.97  12.45   6.52    6.94
1933    0.5    2.0    4.9    6.9    8.7   13.0   15.2   14.2   11.9    7.8    3.9    2.0    2.13   6.83  14.12   7.87    7.61
1934    3.5    4.2    2.6    4.8    8.5   11.7   14.8   12.4   11.2    7.4    3.9    5.1    3.22   5.31  12.99   7.52    7.54
1935    3.0    2.8    4.7    5.0    7.2   11.4   13.5   13.8   10.1    6.6    3.9    0.5    3.66   5.63  12.91   6.87    6.89
1936    0.6    0.5    3.9    4.1    8.5   11.7   13.2   13.6   11.4    7.3    3.5    3.1    0.51   5.55  12.84   7.38    6.81
1937    2.9    1.6    0.4    6.3    9.2   11.4   13.0   13.2   10.5    7.6    4.0    0.2    2.56   5.28  12.57   7.35    6.73
1938    3.2    3.1    7.3    6.3    7.8   11.0   12.4   12.8   11.1    8.0    5.9    2.2    2.15   7.16  12.11   8.30    7.63
1939    0.9    4.0    3.9    5.5    9.1   12.0   12.6   13.6   11.4    6.2    5.1    1.8    2.32   6.17  12.76   7.55    7.19
1940   -2.0    0.7    3.3    5.2    9.9   13.6   12.2   12.5    9.4    7.3    4.3    2.4    0.16   6.17  12.76   6.99    6.58
1941   -2.0    0.4    1.8    4.0    7.2   11.6   13.7   11.9   12.3    7.6    4.2    3.6    0.27   4.32  12.41   8.03    6.39
1942   -0.4   -0.8    2.0    6.0    8.0   11.0   12.7   13.3   10.4    7.6    3.4    4.2    0.87   5.34  12.32   7.14    6.49
1943    1.8    4.4    4.9    7.7    8.5   11.6   12.6   11.7   10.1    8.4    4.1    2.3    3.42   7.02  11.97   7.56    7.36
1944    3.5    2.1    3.6    7.2    8.2   10.7   13.2   13.3    9.3    6.7    2.7    2.1    2.65   6.32  12.45   6.24    6.91
1945   -1.7    4.2    6.3    6.8    8.5   11.4   14.0   13.0   11.6    8.9    5.6    3.1    1.46   7.20  12.81   8.70    7.66
1946    1.0    3.0    3.4    7.3    8.1   10.7   13.2   11.6   11.0    6.7    5.1    1.3    2.35   6.24  11.84   7.59    6.87
1947    1.0   -3.0   -0.7    5.6    9.2   11.8   13.5   15.1   11.2    8.7    4.1    2.8   -0.13   4.66  13.50   7.99    6.66
1948    1.1    2.6    5.7    6.3    8.1   10.7   12.9   11.7   10.6    7.2    5.3    3.4    2.14   6.71  11.77   7.71    7.15
1949    3.1    3.6    3.0    7.2    8.6   11.4   13.5   13.3   12.4    8.9    4.4    2.8    3.34   6.27  12.76   8.57    7.70
1950    2.7    1.5    5.2    4.6    8.2   12.8   12.9   12.6    9.7    7.3    2.8   -0.8    2.34   6.04  12.78   6.59    6.66
1951    0.9    0.9    1.4    3.7    6.7   10.3   13.2   11.9   10.9    8.3    5.7    3.1    0.31   3.92  11.83   8.29    6.44
1952   -0.8    1.7    3.9    7.0   10.0   10.8   13.3   12.5    8.4    6.4    2.0    1.1    1.32   6.97  12.21   5.58    6.37
1953    2.9    3.3    4.5    4.3    9.8   11.7   12.7   13.0   11.8    8.2    6.1    4.1    2.41   6.21  12.44   8.68    7.72
1954    1.8    0.4    2.9    5.6    8.7   10.7   11.7   11.8    9.2    8.2    4.2    3.8    2.14   5.75  11.38   7.20    6.62
1955    0.2   -1.6    1.5    7.2    7.0   10.8   14.8   14.6   11.6    6.6    5.6    2.3    0.88   5.24  13.43   7.92    6.77
1956    0.7   -0.5    3.5    4.5    9.5   10.5   12.6   10.2   11.2    7.5    4.6    4.2    0.87   5.85  11.11   7.78    6.57
1957    3.1    1.7    6.1    6.5    7.7   11.7   13.0   12.4    9.3    8.1    4.9    2.6    3.05   6.80  12.35   7.44    7.29
1958    0.7    0.9    0.6    5.3    7.5   10.7   13.0   12.7   12.3    8.6    4.3    1.8    1.43   4.43  12.13   8.44    6.57
1959   -0.9    2.3    4.7    6.5    9.7   11.9   13.6   14.3   11.6    9.8    5.2    3.0    1.02   6.98  13.30   8.86    7.67
1960    1.6    0.5    3.5    7.1   10.0   13.0   12.4   12.2   10.4    8.0    4.0    1.2    1.72   6.85  12.53   7.46    7.00
1961    1.2    4.2    6.8    6.6    8.4   11.2   12.0   12.1   11.7    8.1    3.7    0.1    2.10   7.27  11.81   7.84    7.19
1962    2.2    2.7    0.7    5.1    7.9   11.3   11.3   11.3    9.8    8.6    3.3    1.8    1.65   4.56  11.31   7.24    6.35
1963   -1.7   -2.2    3.5    5.7    7.5   11.7   12.0   11.4   10.4    8.1    4.4    2.0   -0.64   5.59  11.70   7.65    6.13
1964    3.1    2.6    2.4    6.5    9.7   11.0   12.8   12.0   10.7    7.0    4.7    1.3    2.57   6.23  11.94   7.45    7.00
1965    0.8    2.1    2.3    5.6    8.3   11.7   10.4   11.6   10.1    8.3    1.7    1.0    1.37   5.40  11.22   6.72    6.18
1966    1.0    1.1    4.6    3.3    8.3   12.2   12.2   11.2   11.5    6.9    2.9    1.9    1.00   5.42  11.87   7.12    6.46
1967    2.5    3.3    4.1    5.9    7.0   11.6   12.7   12.6   10.8    7.2    3.9    2.7    2.53   5.65  12.34   7.31    7.05
1968    1.9   -0.5    3.9    5.4    6.4   11.8   11.8   12.4   10.7    9.1    3.9    1.7    1.43   5.20  12.02   7.92    6.57
1969    2.7   -1.4    0.8    4.6    7.6   11.6   13.8   13.9   11.1   10.4    1.6    1.6    1.09   4.34  13.12   7.72    6.58
1970    1.3    0.0    1.9    3.9    9.6   12.6   11.6   13.4   11.2    7.7    3.9    2.7    0.98   5.13  12.52   7.59    6.68
1971    2.8    3.2    3.4    5.6    9.0    9.4   13.4   12.5   12.0    8.7    3.9    5.5    2.90   6.01  11.80   8.21    7.49
1972    2.0    2.0    3.9    6.3    8.2    9.5   12.8   12.0    9.5    8.4    3.4    3.3    3.21   6.13  11.47   7.14    6.81
1973    2.7    2.0    4.8    4.5    8.1   12.3   13.2   12.8   10.8    6.9    3.3    2.3    2.70   5.80  12.78   7.02    7.02
1974    3.7    3.4    3.2    5.7    8.6   10.8   11.8   12.3    9.0    5.7    4.0    4.6    3.11   5.85  11.63   6.26    6.93
1975    3.4    2.6    2.5    5.8    7.0   11.7   13.8   15.4    9.8    8.1    4.1    4.2    3.56   5.09  13.65   7.35    7.40
1976    2.9    3.0    2.6    6.0    8.7   13.2   14.8   14.0   10.4    7.8    3.8   -0.1    3.41   5.76  13.99   7.33    7.27
1977    0.3    1.2    4.2    4.6    7.6   10.2   13.2   12.3   10.0    9.2    3.2    3.7    0.45   5.52  11.91   7.48    6.69
1978    0.5   -1.0    4.1    4.1    9.6   11.1   11.8   12.5   10.9    9.5    5.8    1.7    1.13   5.92  11.81   8.77    6.77
1979   -1.6   -0.6    1.5    4.8    6.9   11.8   12.8   11.7   10.3    8.7    4.0    2.5   -0.16   4.41  12.09   7.69    6.10
1980    0.7    2.9    1.9    6.8    8.7   11.3   12.1   12.9   11.6    6.1    4.1    3.6    2.00   5.78  12.10   7.27    6.89
1981    2.2    1.8    4.2    5.6    9.2   10.8   12.6   13.6   11.6    4.7    4.9   -1.7    2.57   6.33  12.36   7.01    6.65
1982    0.4    3.2    3.9    6.8    8.5   11.4   13.8   12.9   10.8    7.8    4.5    1.9    0.57   6.40  12.74   7.70    7.19
1983    3.8    0.3    4.6    4.0    7.2   11.0   15.4   14.6   10.1    7.6    5.2    4.1    2.03   5.29  13.71   7.63    7.38
1984   -0.3    2.2    2.7    6.2    8.2   11.9   14.3   14.1   10.1    7.8    5.5    3.7    2.00   5.67  13.46   7.80    7.21
1985   -0.2    1.6    2.4    5.7    8.3    9.9   12.8   11.6   10.6    8.7    1.4    3.2    1.69   5.44  11.45   6.92    6.36
1986    0.8   -1.9    3.1    3.4    8.5   11.6   12.7   10.5    9.5    8.1    5.2    2.9    0.79   5.03  11.63   7.59    6.26
1987   -0.1    1.8    2.0    7.3    7.7    9.5   13.2   12.6   10.2    6.4    4.4    3.6    1.53   5.66  11.78   7.00    6.58
1988    2.3    2.7    3.3    5.7    8.8   12.5   12.3   12.6   10.8    7.6    4.3    5.6    2.88   5.94  12.47   7.58    7.39
1989    5.5    3.5    4.1    4.4    9.5   11.4   14.9   12.9   10.6    8.7    4.6    1.5    4.88   6.00  13.06   7.98    7.66
1990    3.8    4.0    6.0    6.0    9.6   11.0   13.3   14.0    9.9    8.5    4.3    2.7    3.09   7.21  12.78   7.58    7.79
1991    1.0    0.8    5.1    5.7    9.1    9.6   14.5   14.2   11.0    7.6    4.2    3.3    1.51   6.66  12.82   7.61    7.23
1992    2.8    3.7    4.6    5.9   10.1   13.1   12.6   11.7   10.1    4.9    4.0    1.8    3.22   6.85  12.49   6.30    7.10
1993    2.9    4.5    4.3    6.4    8.1   11.6   12.0   11.5    9.6    5.7    2.4    1.2    3.02   6.24  11.72   5.87    6.69
1994    2.0    0.7    3.8    5.3    7.3   11.3   14.0   12.3    9.8    7.3    7.1    3.5    1.30   5.45  12.52   8.06    7.05
1995    1.5    2.6    2.3    6.0    8.4   11.5   14.4   15.3   10.8    9.8    5.5    0.0    2.54   5.55  13.78   8.69    7.37
1996    3.0    1.0    2.3    6.1    6.5   11.5   13.1   13.8   11.3    8.7    2.7    1.5    1.35   4.95  12.83   7.58    6.81
1997    1.7    3.5    5.8    6.9    8.3   10.7   14.0   15.2   10.8    7.7    6.2    3.8    2.15   6.99  13.33   8.21    7.89
1998    2.8    6.3    4.8    4.7    9.6   10.6   12.4   12.7   11.8    6.7    3.6    3.4    4.20   6.40  11.94   7.34    7.46
1999    2.6    2.5    4.6    6.8    9.4   10.9   14.1   12.6   12.6    8.3    5.5    1.4    2.84   6.94  12.55   8.78    7.63
2000    3.3    3.2    5.5    5.3    9.1   10.7   12.5   13.5   11.5    7.6    4.0    2.9    2.63   6.64  12.25   7.69    7.45
2001    1.0    1.5    2.0    5.3   10.1   10.9   13.4   13.1   10.7   10.7    5.6    1.8    1.84   5.78  12.49   9.02    7.21
2002    3.2    3.3    4.7    6.7    9.5   11.9   12.8   14.3   11.6    6.5    5.7    3.5    2.77   6.98  13.01   7.92    7.84
2003    2.4    1.9    5.4    7.5    9.4   13.1   15.0   14.5   11.4    6.8    6.0    2.8    2.64   7.40  14.22   8.05    8.05
2004    2.9    2.9    4.4    7.3   10.0   12.4   12.8   14.3   11.7    7.7    5.6    3.7    2.84   7.22  13.16   8.33    7.98
2005    4.1    2.7    5.3    6.4    8.4   12.7   13.8   13.3   12.1    9.5    4.2    3.1    3.54   6.68  13.28   8.59    7.99
2006    2.7    2.5    2.1    5.7    8.7   12.9   16.0   13.6   13.3    9.8    5.8    3.5    2.78   5.50  14.17   9.62    8.08
2007    4.3    3.7    5.0    8.9    8.8   11.7   12.9   12.7   10.8    8.9    5.7    2.4    3.82   7.54  12.42   8.46    7.99
2008    3.1    3.8    3.5    5.5   10.2   11.4   14.2   13.6   11.1    6.9    4.4    1.9    3.06   6.41  13.09   7.47    7.48
2009    1.8    2.7    4.9    7.6    9.2   11.9   13.9   13.8   11.8    8.8    5.1   -0.1    2.11   7.21  13.20   8.59    7.63
2010   -0.2    0.0    3.6    6.7    8.3   12.7   13.6   12.6   11.1    7.8    2.5   -2.6   -0.09   6.20  12.93   7.14    6.36
2011    1.5    3.2    4.4    9.1    9.1   10.9   12.7   12.2   11.9    9.5    7.4    2.6    0.63   7.52  11.95   9.57    7.89
2012    2.6    4.0    7.1    4.7    8.4   10.3   12.2   13.4   10.4    5.8    4.2    2.0    3.05   6.74  11.99   6.78    7.10
2013    2.2    1.8    0.7    4.9    8.6   11.7   15.7   13.9   11.2    9.3    3.6    4.6    2.00   4.72  13.79   8.03    7.38
2014    3.1    3.6    5.3    7.6    9.9   13.0   14.6   12.1   12.4    9.1    6.2    2.4    3.79   7.60  13.25   9.24    8.31
2015    2.1    2.6    4.3    6.5    7.8   11.0   12.5   13.1   10.7    8.3    5.7    5.2    2.34   6.18  12.19   8.24    7.50
2016    2.7    1.8    4.3    4.9    9.6   11.9   13.5   13.5   13.0    8.0    2.6    5.0    3.28   6.30  12.97   7.86    7.59
2017    2.8    3.7                                                                          3.87
