Scotland_N Mean Temperature (Degrees C)
Areal series, starting from 1910
Allowances have been made for topographic, coastal and urban effects where relationships are found to exist.
Seasons: Winter=Dec-Feb, Spring=Mar-May, Summer=June-Aug, Autumn=Sept-Nov. (Winter: Year refers to Jan/Feb).
Monthly values are ranked and displayed to 1 dp and seasonal/annual values to 2 dp. Where values are equal, rankings are based in order of year descending.
Data are provisional from February 2016 and Winter 2016.  Last updated 02/03/2017.

Year    JAN    FEB    MAR    APR    MAY    JUN    JUL    AUG    SEP    OCT    NOV    DEC     WIN    SPR    SUM    AUT     ANN
1910    1.2    2.4    4.9    4.0    8.4   11.2   11.4   12.4   10.5    8.3    1.9    4.3     ---   5.79  11.67   6.89    6.77
1911    3.6    3.3    3.1    5.4    9.8   11.3   13.0   13.6   10.4    6.6    3.4    4.5    3.76   6.12  12.66   6.78    7.37
1912    2.5    2.7    4.5    6.6    8.4   10.6   12.1    9.9    8.8    7.0    4.2    3.7    3.26   6.50  10.85   6.65    6.75
1913    2.8    3.6    3.1    5.2    8.2   11.0   12.1   12.2   10.5    8.6    6.0    3.5    3.33   5.52  11.77   8.37    7.25
1914    2.3    4.0    3.0    7.1    7.4   10.8   12.5   12.7   10.3    8.1    4.4    1.5    3.25   5.81  12.01   7.60    7.01
1915    1.7    2.0    2.9    5.2    6.8   10.5   11.5   12.4   10.5    7.5    2.0    1.5    1.71   4.98  11.50   6.67    6.24
1916    4.8    1.6    1.2    5.4    7.6    9.0   12.1   12.3   10.3    7.3    5.7    2.3    2.67   4.74  11.15   7.76    6.65
1917    0.6    1.6    1.8    2.7    8.3   10.6   12.7   13.1   10.4    4.8    5.4    1.9    1.47   4.29  12.19   6.84    6.19
1918    0.9    4.4    3.8    4.7    9.5    9.9   11.8   12.4    7.5    7.0    4.2    3.6    2.32   6.01  11.43   6.24    6.67
1919    1.9    0.0    1.1    4.7   10.1   10.1   11.2   11.5    9.6    6.7    1.1    2.6    1.88   5.29  10.93   5.82    5.92
1920    2.4    4.0    4.4    5.0    8.1   11.2   11.0   10.8   10.0    8.8    6.2    2.8    2.95   5.84  11.02   8.36    7.06
1921    3.7    4.1    3.8    6.1    7.8   10.5   12.7   10.9   10.2    9.4    3.7    4.6    3.50   5.91  11.40   7.80    7.32
1922    2.1    2.7    3.3    3.1    8.0    9.6   10.2   10.5    9.3    6.7    4.9    4.0    3.14   4.81  10.11   6.95    6.22
1923    4.6    3.4    4.7    4.7    5.6    9.0   12.7   11.2    9.1    6.8    2.1    2.5    3.99   5.00  10.99   6.02    6.39
1924    3.4    2.9    2.0    4.7    7.1    9.8   11.9   11.6    9.6    7.5    6.1    5.4    2.94   4.61  11.10   7.76    6.86
1925    3.9    2.3    3.0    4.9    8.4   11.1   13.3   12.1    8.6    7.7    3.4    0.8    3.92   5.42  12.18   6.56    6.65
1926    3.5    3.8    4.0    7.0    7.3   10.7   13.0   12.7   10.3    4.8    3.8    3.6    2.68   6.08  12.12   6.28    7.05
1927    2.7    3.4    4.8    4.4    6.6    8.4   13.1   12.5    9.2    7.3    4.2    0.6    3.26   5.27  11.40   6.89    6.47
1928    3.0    3.3    3.6    5.7    8.1    8.6   11.2   11.8    9.4    7.5    5.2    2.9    2.27   5.81  10.54   7.36    6.70
1929    0.3    1.1    5.4    4.5    8.5    9.8   12.2   11.5   11.0    6.5    4.7    3.6    1.43   6.14  11.15   7.42    6.62
1930    2.8    1.2    1.9    6.0    7.6   11.7   12.2   12.4   10.5    7.5    3.3    3.4    2.55   5.18  12.10   7.12    6.74
1931    2.0    2.0    1.7    5.2    8.4    9.8   12.2   11.5    9.8    7.3    6.4    5.0    2.49   5.13  11.17   7.82    6.81
1932    5.0    4.0    3.5    4.0    7.6   11.0   12.6   12.7    9.6    6.3    4.8    3.9    4.66   5.05  12.11   6.87    7.09
1933    1.9    2.1    5.4    6.5    8.7   12.5   14.5   13.3   11.6    7.8    4.5    2.9    2.64   6.87  13.43   8.00    7.68
1934    4.0    4.8    2.8    4.5    7.6   11.2   13.7   12.4   11.2    7.2    4.2    5.6    3.86   4.98  12.43   7.54    7.45
1935    3.8    2.9    4.7    5.0    7.7   10.8   12.7   13.0    9.9    6.5    4.5    1.0    4.14   5.79  12.18   6.96    6.89
1936    1.1    1.4    4.7    4.2    8.7   11.4   12.7   12.9   11.2    7.4    4.4    3.7    1.15   5.90  12.33   7.67    7.00
1937    3.5    1.9    0.9    6.6    9.3   10.5   12.2   12.7   10.2    7.9    4.5    1.4    3.04   5.58  11.83   7.51    6.82
1938    3.5    3.1    6.7    6.1    7.5   10.2   11.7   12.7   10.7    7.9    5.9    3.0    2.68   6.79  11.56   8.18    7.46
1939    1.0    4.2    4.1    5.6    8.7   11.0   11.6   13.1   11.3    6.5    5.5    3.0    2.68   6.14  11.92   7.75    7.14
1940   -0.3    1.7    3.3    5.6   10.1   12.8   11.5   11.7    9.1    7.7    4.5    2.7    1.47   6.34  12.01   7.12    6.72
1941   -0.7    0.9    2.3    4.1    7.0   11.0   12.8   11.5   12.1    7.8    4.8    4.5    0.96   4.48  11.78   8.25    6.55
1942    1.3    0.8    2.9    6.5    7.9    9.6   11.9   12.6   10.0    7.1    4.5    4.8    2.26   5.74  11.38   7.23    6.70
1943    2.7    4.4    5.1    6.8    8.2   10.8   12.1   11.1   10.0    9.0    4.7    3.3    3.97   6.67  11.33   7.89    7.36
1944    3.9    2.4    3.5    7.2    7.7   10.2   13.1   13.4    9.5    7.1    3.0    2.7    3.23   6.16  12.23   6.54    7.00
1945   -1.2    4.3    6.6    6.5    8.4   11.0   13.3   12.9   11.6    9.3    6.0    4.2    1.85   7.18  12.44   8.98    7.76
1946    2.5    2.9    3.8    6.5    8.4   10.2   12.1   11.4   11.0    7.1    5.2    2.4    3.20   6.25  11.23   7.74    6.97
1947    1.8   -2.3    0.3    5.4    9.7   11.2   13.1   15.0   10.7    8.8    4.1    3.4    0.73   5.11  13.13   7.89    6.83
1948    1.3    2.9    6.2    6.2    8.2   10.6   12.3   11.2   10.2    7.1    6.0    4.5    2.52   6.89  11.36   7.75    7.24
1949    3.4    3.9    3.4    6.6    8.0   10.9   12.9   12.7   12.0    9.0    5.2    2.8    3.92   5.99  12.19   8.73    7.58
1950    3.9    1.8    5.2    4.5    8.2   11.4   12.7   12.7    9.6    7.3    3.2    0.0    2.87   6.00  12.30   6.71    6.76
1951    1.6    1.3    1.9    3.4    7.4   10.0   12.0   11.4   10.8    8.6    5.8    3.4    0.94   4.25  11.16   8.39    6.50
1952   -0.1    2.2    4.3    6.9    9.6    9.4   12.2   11.9    8.1    6.6    2.3    2.2    1.84   6.94  11.22   5.66    6.33
1953    3.5    3.5    5.0    4.2    9.0   11.6   12.0   12.3   11.5    8.8    6.3    4.5    3.08   6.07  11.96   8.88    7.71
1954    2.4    1.1    3.1    5.7    8.8   10.3   11.0   11.4    9.1    7.8    4.3    4.1    2.72   5.87  10.93   7.05    6.63
1955    0.4   -1.3    2.3    6.9    6.6   10.6   13.9   14.2   11.5    6.7    6.3    2.5    1.14   5.25  12.95   8.14    6.76
1956    1.2    0.8    4.5    4.4    8.8    9.7   11.9   10.1   11.0    7.6    5.5    4.5    1.49   5.90  10.58   8.03    6.68
1957    3.4    1.9    6.4    6.3    7.7   10.8   11.9   11.9    9.1    8.1    5.1    3.3    3.34   6.80  11.54   7.44    7.20
1958    1.2    1.3    1.1    5.3    6.8   10.8   12.3   12.4   12.4    8.6    5.4    2.6    1.98   4.38  11.85   8.80    6.71
1959   -0.5    3.1    5.0    6.2    9.5   11.4   12.8   13.4   11.5    9.9    5.3    3.1    1.66   6.90  12.54   8.90    7.57
1960    1.7    0.6    4.3    6.8   10.0   12.2   12.0   11.7   10.1    7.8    4.4    1.7    1.83   7.03  11.98   7.45    6.97
1961    1.6    4.1    6.4    6.3    8.0   10.4   11.3   11.6   11.2    8.1    3.6    0.7    2.45   6.92  11.09   7.63    6.96
1962    2.9    2.7    0.8    4.9    7.4   10.7   11.0   10.7    9.4    8.8    3.9    3.1    2.08   4.36  10.78   7.39    6.37
1963   -0.9   -0.7    4.4    5.7    7.2   11.5   11.6   10.9   10.1    8.0    4.2    2.4    0.52   5.77  11.31   7.45    6.23
1964    4.1    3.2    3.4    6.1    9.3   10.0   11.5   10.8   10.1    7.2    5.3    2.0    3.23   6.25  10.78   7.53    6.92
1965    1.2    2.6    2.9    5.5    8.0   11.1   10.1   11.3    9.8    8.4    2.0    1.4    1.89   5.48  10.81   6.77    6.21
1966    1.4    1.4    4.2    3.5    7.8   11.9   11.4   11.1   10.9    7.0    2.9    2.3    1.41   5.19  11.45   6.94    6.35
1967    2.9    3.6    3.6    5.2    6.9   11.1   11.9   12.0   10.8    6.6    4.7    3.0    2.90   5.24  11.68   7.34    6.87
1968    2.1    0.1    3.6    5.6    6.3   11.4   11.3   11.9   10.7    8.7    3.8    2.2    1.78   5.16  11.56   7.75    6.50
1969    2.9   -0.9    1.6    4.8    7.7   11.4   12.5   13.3   10.3   10.1    1.6    2.5    1.48   4.70  12.43   7.37    6.54
1970    2.0   -0.2    1.6    3.7    9.2   12.9   10.5   12.8   10.5    7.6    3.9    3.2    1.50   4.83  12.04   7.37    6.52
1971    3.5    3.6    3.8    5.7    9.2    9.1   12.4   11.8   11.6    8.6    4.3    5.6    3.43   6.21  11.13   8.14    7.45
1972    2.3    2.4    4.3    5.6    8.2    8.9   12.2   11.2    9.2    8.6    3.8    4.0    3.44   6.03  10.80   7.21    6.75
1973    3.5    1.9    4.9    4.0    7.8   11.0   12.2   12.6   10.3    6.8    3.7    2.7    3.19   5.58  11.95   6.92    6.82
