Wales Mean Temperature (Degrees C)
Areal series, starting from 1910
Allowances have been made for topographic, coastal and urban effects where relationships are found to exist.
Seasons: Winter=Dec-Feb, Spring=Mar-May, Summer=June-Aug, Autumn=Sept-Nov. (Winter: Year refers to Jan/Feb).
Monthly values are ranked and displayed to 1 dp and seasonal/annual values to 2 dp. Where values are equal, rankings are based in order of year descending.
Data are provisional from February 2016 and Winter 2016.  Last updated 02/03/2017.

Year    JAN    FEB    MAR    APR    MAY    JUN    JUL    AUG    SEP    OCT    NOV    DEC     WIN    SPR    SUM    AUT     ANN
1910    3.9    5.0    5.8    6.5   10.6   13.6   13.6   13.9   12.2   10.1    4.2    6.2     ---   7.66  13.71   8.85    8.83
1911    4.0    4.5    4.7    6.7   12.3   13.6   16.8   17.2   13.4    9.5    5.7    6.3    4.89   7.93  15.93   9.52    9.60
1912    3.5    4.9    6.5    8.4   10.7   12.4   14.8   11.7   10.5    8.2    6.3    6.8    4.91   8.54  12.97   8.35    8.74
1913    4.4    4.6    5.4    7.2   10.1   12.6   14.0   14.6   13.3   10.6    8.1    5.1    5.28   7.58  13.77  10.65    9.19
1914    3.1    6.0    5.5    8.8    9.7   13.2   14.6   15.1   12.7    9.7    6.1    4.1    4.68   7.99  14.29   9.52    9.06
1915    3.7    3.5    4.3    7.2   10.3   13.1   13.3   14.1   12.7    8.6    2.6    5.2    3.80   7.26  13.52   7.96    8.24
1916    7.0    3.3    2.8    7.1    9.9   10.7   14.2   15.1   12.5   10.2    6.2    2.0    5.19   6.62  13.35   9.63    8.43
1917    0.9    0.7    2.8    4.7   11.4   13.0   14.9   14.1   13.0    7.3    7.6    2.5    1.19   6.32  14.00   9.26    7.77
1918    3.8    6.3    5.1    6.3   11.3   12.0   14.1   14.7   11.2    8.6    5.5    6.8    4.13   7.60  13.62   8.44    8.84
1919    3.0    1.4    2.7    6.0   12.0   12.6   13.2   14.4   11.8    7.6    2.9    5.4    3.82   6.91  13.41   7.42    7.79
1920    4.8    5.6    6.0    7.3   10.4   13.1   13.0   12.8   12.0   10.0    6.8    3.9    5.25   7.89  12.96   9.62    8.81
