technology, fueltype, eff_by, eff_ey, eff_achieved,diff_method,market_entry,technology_list,NOTES,EFF_OLD_MODEL_EY,,,,,,,,,,
halogen,electricity,0.036,0.036,1,linear,2010,rs_lighting,Relative derived eff: 80% efficiency gaing to standard lighting blub RElative calculated to be 80% better than standard lighting bulb (180*0.02) / 100,,,,,,,,,,,
standard_lighting_bulb,electricity,0.02,0.02,1,linear,2010,rs_lighting,Found on wikipedia,,,,,,,,,,,
fluorescent_strip_lightinging,electricity,0.054,0.054,1,linear,2010,rs_lighting,Relative derived eff: 50% efficiency gain to halogen (0.036*150) / 100,,,,,,,,,,,
energy_saving_lighting_bulb,electricity,0.034,0.034,1,linear,2010,rs_lighting,Relative derived eff: 70% efficiency gain to standard lightingbulg,,,,,,,,,,,
LED,electricity,0.048,0.048,1,linear,2010,rs_lighting,40% savings compared to energy saving lighting bulb,,,,,,,,,,,
washing_machine,electricity,0.46,2.29,1,linear,2015,rs_wet,,,,,,,,,,,,
tumble_dryer,electricity,0.81,4,1,linear,2019,rs_wet,,,,,,,,,,,,
dishwasher,electricity,0.53,2.6,1,linear,2018,rs_wet,,,,,,,,,,,,
washer_dryer,electricity,2,0.46,1,linear,2017,rs_wet,,,,,,,,,,,,
hob_electricity,electricity,0.9,0.9,1,linear,2015,rs_cooking,,,,,,,,,,,,
oven_electricity,electricity,0.65,3.23,1,linear,2015,rs_cooking,,,,,,,,,,,,
hob_induction_electricity,electricity,1.3,1.4,1,linear,2015,rs_cooking,,,,,,,,,,,,
chest_freezer,electricity,0.54,2.71,1,linear,2015,rs_cold,see excel ECUK,,,,,,,,,,,
fridge_freezer,electricity,0.48,2.71,1,linear,2015,rs_cold,,,,,,,,,,,,
refrigerator,electricity,0.48,2.71,1,linear,2015,rs_cold,,,,,,,,,,,,
upright_freezer,electricity,0.5,2.71,1,linear,2015,rs_cold,,,,,,,,,,,,
boiler_solid_fuel,solid_fuel,0.6,0.6,1,linear,2015,tech_heating_const,OK -,0.7,,,,,,,,,,
boiler_gas,gas,0.7,0.7,1,linear,2015,tech_heating_const,OK -,0.9,,,,,,,,,,
boiler_electricity,electricity,0.99,0.99,1,linear,2015,tech_heating_const,OK -,0.99,,,,,,,,,,
boiler_oil,oil,0.7,0.7,1,linear,2015,tech_heating_const,OK- ,0.9,,,,,,,,,,
boiler_biomass,biomass,0.7,0.7,1,linear,2015,tech_heating_const,OK- ,0.9,,,,,,,,,,
boiler_hydrogen,hydrogen,0.7,0.7,1,linear,2015,tech_heating_const,??,,,,,,,,,,,
boiler_condensing_gas,gas,0.85,0.85,1,linear,2015,tech_heating_const,OK_,0.95,,,,,,,,,,
boiler_condensing_oil,oil,0.85,0.85,1,linear,2015,tech_heating_const,OK_,0.95,,,,,,,,,,
heat_pump_ASHP_gas,gas,2,1.3,1,linear,2015,tech_heating_temp_dep,OK_,1.8,,,,,,,,,,
heat_pump_GSHP_gas,gas,2.5,1.3,1,linear,2015,tech_heating_temp_dep,OK_,1.8,,,,,,,,,,
heat_pump_ASHP_electricity,electricity,2,2,1,linear,2015,tech_heating_temp_dep,OK_,3,,,,,,,,,,
heat_pump_GSHP_electricity,electricity,2.5,2.5,1,linear,2015,tech_heating_temp_dep,OK_,4,,,,,,,,,,
heat_pump_ASHP_hydro,electricity,2,2,1,linear,2015,tech_heating_temp_dep,OK_,3,,,,,,,,,,
heat_pump_GSHP_hydro,electricity,2.5,2.5,1,linear,2015,tech_heating_temp_dep,OK_,4,,,,,,,,,,
stirling_micro_CHP,gas,0.7,0.7,1,linear,2015,tech_heating_const,CHP,systems,typically,achieve,total,system,efficiencies,of,60,to,80,percent.
fuel_cell_CHP,hydrogen,0.8,0.8,1,linear,2015,tech_heating_const,https://www.viessmann.co.uk/en/residential-buildings/combined-heat-and-power-generation/micro-chp-unit-based-on-a-fuel-cell/vitovalor-300p.html,,,,,,,,,,,
hybrid_gas_electricity,hybrid,0,0,1,linear,2015,tech_heating_hybrid,TODO,,,,,,,,,,,
hybrid_hydrogen_electricity,hybrid,0,0,1,linear,2015,tech_heating_hybrid,TODO,,,,,,,,,,,
storage_heater_electricity,electricity,0.8,0.8,1,linear,2015,primary_heating_electricity,TODO efficiency,,,,,,,,,,,
secondary_heater_electricity,electricity,0.8,0.8,1,linear,2015,secondary_heating_electricity,TODO efficiency,,,,,,,,,,,
boiler_heat_sold,heat_sold,0.6,0.6,1,linear,2015,tech_heating_const,OK -,dummy.,,,,,,,,,,
