DATE,SNCWV
01/10/2015,884
02/10/2015,844
03/10/2015,724
04/10/2015,712
05/10/2015,885
06/10/2015,886
07/10/2015,886
08/10/2015,886
09/10/2015,845
10/10/2015,725
11/10/2015,713
12/10/2015,888
13/10/2015,888
14/10/2015,889
15/10/2015,889
16/10/2015,849
17/10/2015,729
18/10/2015,717
19/10/2015,893
20/10/2015,894
21/10/2015,895
22/10/2015,896
23/10/2015,855
24/10/2015,735
25/10/2015,723
26/10/2015,900
27/10/2015,901
28/10/2015,902
29/10/2015,903
30/10/2015,862
31/10/2015,742
01/11/2015,730
02/11/2015,907
03/11/2015,909
04/11/2015,910
05/11/2015,911
06/11/2015,871
07/11/2015,749
08/11/2015,737
09/11/2015,916
10/11/2015,917
11/11/2015,917
12/11/2015,917
13/11/2015,876
14/11/2015,754
15/11/2015,741
16/11/2015,920
17/11/2015,921
18/11/2015,922
19/11/2015,923
20/11/2015,882
21/11/2015,758
22/11/2015,746
23/11/2015,927
24/11/2015,928
25/11/2015,930
26/11/2015,931
27/11/2015,890
28/11/2015,765
29/11/2015,753
30/11/2015,937
01/12/2015,938
02/12/2015,939
03/12/2015,941
04/12/2015,899
05/12/2015,772
06/12/2015,759
07/12/2015,944
08/12/2015,945
09/12/2015,946
10/12/2015,946
11/12/2015,904
12/12/2015,776
13/12/2015,763
14/12/2015,950
15/12/2015,951
16/12/2015,952
17/12/2015,953
18/12/2015,910
19/12/2015,781
20/12/2015,768
21/12/2015,896
22/12/2015,896
23/12/2015,897
24/12/2015,826
25/12/2015,825
26/12/2015,682
27/12/2015,683
28/12/2015,791
29/12/2015,829
30/12/2015,830
31/12/2015,831
01/01/2016,758
02/01/2016,680
03/01/2016,681
04/01/2016,928
05/01/2016,961
06/01/2016,962
07/01/2016,963
08/01/2016,919
09/01/2016,786
10/01/2016,773
11/01/2016,966
12/01/2016,967
13/01/2016,968
14/01/2016,969
15/01/2016,925
16/01/2016,791
17/01/2016,778
18/01/2016,973
19/01/2016,974
20/01/2016,975
21/01/2016,976
22/01/2016,931
23/01/2016,795
24/01/2016,781
25/01/2016,977
26/01/2016,977
