enduse,default_by,end_yr,value_ey,diffusion_choice,sig_midpoint,sig_steepness,regional_specific
rs_space_heating,0,2020,0.2,linear,0,1,False
rs_space_heating,0,2030,0.3,linear,0,1,False
rs_space_heating,0,2040,0.4,linear,0,1,False
rs_water_heating,0,2050,0,linear,0,1,False
rs_lighting,0,2050,0,linear,0,1,False
rs_cooking,0,2050,0,linear,0,1,False
rs_cold,0,2050,0,linear,0,1,False
rs_wet,0,2050,0,linear,0,1,False
rs_consumer_electronics,0,2050,0,linear,0,1,False
rs_home_computing,0,2050,0,linear,0,1,False
ss_space_heating,0,2050,0,linear,0,1,False
ss_water_heating,0,2050,0,linear,0,1,False
ss_cooling_humidification,0,2050,0,linear,0,1,False
ss_fans,0,2050,0,linear,0,1,False
ss_lighting,0,2050,0,linear,0,1,False
ss_catering,0,2050,0,linear,0,1,False
ss_small_power,0,2050,0,linear,0,1,False
ss_ICT_equipment,0,2050,0,linear,0,1,False
ss_cooled_storage,0,2050,0,linear,0,1,False
ss_other_gas,0,2050,0,linear,0,1,False
ss_other_electricity,0,2050,0,linear,0,1,False
is_high_temp_process,0,2050,0,linear,0,1,False
is_low_temp_process,0,2050,0,linear,0,1,False
is_drying_separation,0,2050,0,linear,0,1,False
is_motors,0,2050,0,linear,0,1,False
is_compressed_air,0,2050,0,linear,0,1,False
is_lighting,0,2050,0,linear,0,1,False
is_space_heating,0,2050,0,linear,0,1,False
is_other,0,2050,0,linear,0,1,False
is_refrigeration,0,2050,0,linear,0,1,False
